Applicant / Entity,Property Name,City,County,Grant Description,Agency,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,TOTAL UNITS,Rent Restricted,Built,Address,HAVE RECIEVED WELFARE TAX EXEMPTION,Leasing Link,APN No. 1,APN No. 2,,Property Taxes Link,23 Ass. Value,25 Ass. Value,,City's Cut,ED 1?,Last Tax Amt,Last Tax Yr,Current Amt,Current Yr
"Alvarado Affordable Associates, L.P.",Alvarado Streets Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,23-204,07/14/23,Taylor Equities,,"Kingdom Development, Inc.",,,,,24,24,,"1136 S. Alvarado Street, Los Angeles, CA",YES,,,,,,,,,"$3,600",,,,,
"2025 NJ, LP",2025 New Jersey Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,23-203,08/04/23,"Eleos Ventures, LLC",,Step Forward Communities,,,,,15,14,2023,"2025 New Jersey St, Los Angeles, CA",,,5183001017,,,,,,,"$2,250",,,,,
"Mariposa Club Apartments I, LP,",Mariposa Club Apartments,Mountain View,Santa Clara,"Grant up to $10,000",CMFA,23-224,08/04/23,Prometheus Real Estate Group,,Hearthstone Housing Foundation,,,,,48,48,,"660 Mariposa Ave., Mountain View, CA",YES,,154-34-025  ,,,,,"$341,192",,"$7,500",,193967.18,2024,"$7,477.70",2025
"Castle Rock Bernardine Apartments, LP",Bernardine Apartments,San Bernardino,San Bernardino,"Grant up to $10,000",CMFA,23-202,08/04/23,Quest Capital Partners,,Affordable Rent Project,,,,,71,70,,"363 E. Gilbert St., San Bernardino, CA",,,,,,,,,,"$10,650",,,,,
Mission Valley Preservation LP,"City View aka Outlook at Mission Valley
Apartments",San Diego,San Diego,"Grant up to $10,000",CMFA,23-275,08/25/2023,Security Properties,,Las Palmas Housing & Development,,,,,56,23,,"840 17th St, San Diego, CA 92101",,,,,,,,,,"$8,400",,,,,
381 Turk Street Associates,381 Turk Street Apartment,San Francisco,San Francisco,"Grant up to $10,000",CMFA,23-307,9/15/2023,"Mosser Capital, LLC",,"Kingdom Development, Inc.",,,,,32,13,,"381 Turk St., San Francisco, CA",,,0345 012C,,,,,,,"$4,800",,"$121,770.74",2025,,
"SFF 2, LLC",Townhomes at Gading Apartments,Hayward,Alameda,"Grant up to $10,000",CMFA,23-370,12/8/2023,The Sobrato Organization,,Sobrato Foundation,,,,,61,61,,"26409 Gading Rd, Hayward, CA 94544",,https://www.townhomesongadingapts.com/,454-25-124-3,,,,"$6,029,645","$17,336,168",,"$9,150",,"$78,032.02",2023,"$209,772.98",2025
"1317 SGA QOZB, LP or an affiliate thereof",1317 S. Grand Apartments,Los Angeles,Los Angeles,,CMFA,23-371,12/08/2023,Housing Diversity Corporation,,PEP Housing,,,,,147,147,,"1317 S. Grand St, Los Angeles, CA 90015",,,,,,,,,,"$22,050",,,,,
Housing Diversity,1411 S. Flower Apartments,Los Angeles,Los Angeles,,CMFA,23-372,12/08/2023,Housing Diversity Corporation,Arctaris Impact Investors,PEP Housing,,,,,227,227,,"1411 Flower St, Los Angeles, CA 90015",,,,,,,,,,"$34,050",,,,,
"BIF NON OZ 7518 S Hoover St, LP",7518 Hoover St. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-041,02/02/2024,"SoLa Impact, LLC",Black Impact Group,Housing on Merit,,,,,79,48,,"7518 S. Hoover, Los Angeles, CA 90044",,,,,,,,,,"$11,850",,,,,
