Agency,Applicant / Entity,Property Name,City,County,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,Total Unit Count,Rent Restricted Unit Count,Built,Address,City's Cut,Leasing Link,HAVE RECIEVED WELFARE TAX EXEMPTION
CMFA,"Alvarado Affordable Associates, LP",Alvarado Streets Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",23-204,07/14/23,Taylor Equities,,"Kingdom Development, Inc.",,,,,24,24,,"1136 S. Alvarado Street, Los Angeles, CA","$3,600",,YES
CMFA,"2025 NJ, LP",2025 New Jersey Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",23-223,08/04/23,"Eleos Ventures, LLC",,Step Forward Communities,,,,,15,14,2023,"2025 New Jersey St, Los Angeles, CA","$2,250",,
CMFA,"Mariposa Club Apartments I, LP",Mariposa Club Apartments,Mountain View,Santa Clara,"Grant up to $10,000",23-224,08/04/23,Prometheus Real Estate Group,,Hearthstone Housing Foundation,,,,,48,48,,"660 Mariposa Ave., Mountain View, CA","$7,500",,YES
CMFA,"Castle Rock Bernardine Apartments, LP",Bernardine Apartments,San Bernardino,San Bernardino,"Grant up to $10,000",23-222,08/04/23,Quest Capital Partners,,Affordable Rent Project,,,,,71,70,,"363 E. Gilbert St., San Bernardino, CA","$10,650",,
CMFA,Mission Valley Preservation LP,"City View aka Outlook at Mission Valley
Apartments",San Diego,San Diego,"Grant up to $10,000",23-275,08/25/2023,Securities Properties,,Las Palmas Housing & Development,,,,,56,23,,"840 17th St, San Diego, CA 92101","$8,400",,
CMFA,381 Turk Street Associates,381 Turk Street Apartment,San Francisco,San Francisco,"Grant up to $10,000",23-307,9/15/2023,"Mosser Capital, LLC",,"Kingdom Development, Inc.",,,,,32,13,,"381 Turk St., San Francisco, CA","$4,800",,
CMFA,"SFF 2, LLC",Townhomes at Gading Apartments,Hayward,Alameda,"Grant up to $10,000",23-370,12/8/2023,The Sobrato Organization,,Sobrato Foundation,,,,,61,61,,"26409 Gading Rd, Hayward, CA 94544","$9,150",https://www.townhomesongadingapts.com/,
CMFA,"1317 SGA QOZB, LP or an affiliate thereof",1317 S. Grand Apartments,Los Angeles,Los Angeles,,23-371,12/08/2023,Housing Diversity Corporation,,PEP Housing,,,,,147,147,,"1317 S. Grand St, Los Angeles, CA 90015","$22,050",,
CMFA,Housing Diversity,1411 S. Flower Apartments,Los Angeles,Los Angeles,,23-372,12/08/2023,Housing Diversity Corporation,Arctaris Impact Investors,PEP Housing,,,,,227,227,,"1411 Flower St, Los Angeles, CA 90015","$34,050",,
CMFA,"BIF NON OZ 7518 S Hoover St, LP",7518 Hoover St. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-041,02/02/2024,"SoLa Impact, LLC",Black Impact Group,Housing on Merit,,,,,79,48,,"7518 S. Hoover, Los Angeles, CA 90044","$11,850",,
CMFA,2019 Ozone Affordable Housing,820 MacArthur Apartments,Oakland,Alameda,"Grant up to $10,000",24-052,02/23/2024,"Riaz, Inc.",,AOF Pacific,,YES,,,166,166,,"820 W MacArthur Blvd, Oakland, CA 94608","$24,900",,
CMFA,"801 Waterloo Partners, LP",The Waterloo Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-053,02/23/2024,The Greg Scott Company,,"Kingdom Development, Inc.",,,,,154,154,,"801-809 Waterloo Street, Los Angeles, CA ","$23,250",,
CMFA,RHI-Mosser 275 Turk LP,275 Turk Street Apartments,San Francisco,San Francisco,"Grant up to $10,000",24-076,03/15/2024,"Mosser Capital, LLC",Stars Real Estate Investment,"Kingdom Development, Inc.",,,,,66,27,,"275 Turk St, San Francisco, CA","$9,900",,
CMFA,"Electric Lofts, LP",Electric Lofts Apartments,Oakland,Alameda,"Grant up to $10,000",24-074,03/15/2024,Trestle Development LLC,,AOF / Pacific Affordable Housing Corp,,,,,89,40,,"2415 Valdez St, Oakland, CA 94612","$13,350",https://www.electriclofts.com/,
CMFA,"OODB2, LP",Premiere Hollywood Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-178,04/26/2024,Housing Diversity Corporation,,PEP Housing,,,,,69,69,2023,"6762 Hawthorn Ave, Los Angeles, CA 90028","$10,350",,
CMFA,"Affordable Housing Alliance II, Inc. dba Integrity Housing",Montessa Apartments,Vacaville,Solano,"Grant up to $10,000",24-200,05/17/2024,Ascenda Capital,,Integrity Housing,,YES,,,169,58,,"343 Moon River Pl, Vacaville, CA 95687","$8,700",,
