Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date
1,Alvarado Streets Apartments,"Alvarado Affordable Associates, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",23-204,07/14/23,Taylor Equities,,"Kingdom Development, Inc.",FALSE,24,24,100.00%,"1136 S. Alvarado Street, Los Angeles, CA","$3,600",TRUE,TRUE,"$4,447,710.00","$4,262,686.00","$4,002,939.00","$4,262,686.00",1.1874%,"$50,614.28","$50,614.28",,,,,,
2,2025 New Jersey Apartments,"2025 NJ, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",23-223,08/04/23,"Eleos Ventures, LLC",,Step Forward Communities,FALSE,15,14,93.33%,"2025 New Jersey St, Los Angeles, CA","$2,250",TRUE,TRUE,"$527,950.00","$527,950.00","$443,478.00","$527,950.00",1.1874%,"$6,268.77","$6,268.77",,,,2023,,
3,Mariposa Club Apartments,"Mariposa Club Apartments I, LP",Mountain View,Santa Clara,CMFA,"Grant up to $10,000",23-224,08/04/23,Prometheus Real Estate Group,,Hearthstone Housing Foundation,FALSE,48,48,,"660 Mariposa Ave., Mountain View, CA","$7,500",TRUE,TRUE,"$17,059,601.00","$16,718,409.00","$15,353,640.90","$16,718,409.00",1.12%,"$187,430.08","$187,430.08",,,,,,
4,Bernardine Apartments,"Castle Rock Bernardine Apartments, LP",San Bernardino,San Bernardino,CMFA,"Grant up to $10,000",23-222,08/04/23,Quest Capital Partners,,Affordable Rent Project,FALSE,71,70,,"363 E. Gilbert St., San Bernardino, CA","$10,650",TRUE,FALSE,"$4,075,000.00",$0.00,"$3,615,845.07","$3,615,845.07",1.13%,$0.00,"$40,859.05",,,,,,
5,"City View aka Outlook at Mission Valley
Apartments",Mission Valley Preservation LP,San Diego,San Diego,CMFA,"Grant up to $10,000",23-275,08/25/2023,Securities Properties,,Las Palmas Housing & Development,FALSE,56,23,,"840 17th St, San Diego, CA 92101","$8,400",TRUE,FALSE,"$9,316,117.00",$0.00,"$3,443,636.11","$3,443,636.11",1.25%,$0.00,"$43,084.71",,,,,,
6,381 Turk Street Apartment,381 Turk Street Associates,San Francisco,San Francisco,CMFA,"Grant up to $10,000",23-307,9/15/2023,"Mosser Capital, LLC",,"Kingdom Development, Inc.",FALSE,32,13,,"381 Turk St., San Francisco, CA","$4,800",TRUE,FALSE,"$7,398,189.00",$0.00,"$2,704,962.85","$2,704,962.85",1.20%,$0.00,"$32,459.55",,,,,,
7,Townhomes at Gading Apartments,"SFF 2, LLC",Hayward,Alameda,CMFA,"Grant up to $10,000",23-370,12/8/2023,The Sobrato Organization,,Sobrato Foundation,FALSE,61,61,,"26409 Gading Rd, Hayward, CA 94544","$9,150",TRUE,FALSE,"$17,313,480.00",$0.00,"$15,582,132.00","$15,582,132.00",1.17%,$0.00,"$182,684.92",,https://www.townhomesongadingapts.com/,,,,
8,1317 S. Grand Apartments,"1317 SGA QOZB, LP or an affiliate thereof",Los Angeles,Los Angeles,CMFA,,23-371,12/08/2023,Housing Diversity Corporation,,PEP Housing,FALSE,147,147,100.00%,"1317 S. Grand St, Los Angeles, CA 90015","$22,050",TRUE,FALSE,"$11,783,947.00",$0.00,"$10,605,552.30","$10,605,552.30",1.1874%,$0.00,"$125,928.21",,,,,,
9,1411 S. Flower Apartments,Housing Diversity,Los Angeles,Los Angeles,CMFA,,23-372,12/08/2023,Housing Diversity Corporation,Arctaris Impact Investors,PEP Housing,FALSE,227,227,100.00%,"1411 Flower St, Los Angeles, CA 90015","$34,050",TRUE,FALSE,"$9,142,457.00",$0.00,"$8,228,211.30","$8,228,211.30",1.1874%,$0.00,"$97,700.14",,,,,,
10,7518 Hoover St. Apartments,"BIF NON OZ 7518 S Hoover St, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-041,02/02/2024,"SoLa Impact, LLC",Black Impact Group,Housing on Merit,FALSE,79,48,60.76%,"7518 S. Hoover, Los Angeles, CA 90044","$11,850",TRUE,FALSE,"$2,856,000.00",$0.00,"$1,561,762.03","$1,561,762.03",1.1874%,$0.00,"$18,544.05",,,,,,
