cand_parcelnumb_no_formatting,query_Address,cand_address,cand_usecode,cand_usedesc,cand_zoning,cand_zoning_description,cand_numunits,cand_parvaltype,cand_parval,exemption value,cand_owner,cand_mailadd,cand_saddno,cand_saddstr,cand_county,cand_gisacre,cand_ll_gisacre,query_Applicant / Entity,query_Property Name,query_City,query_County,query_Grant Description,query_Resolution,query_Date,query_Investor 1,query_Investor 2,query_Nonprofit Partner,query_Link,query_New build?,query_Acquisition Price (M),query_Acquisition Date,query_TOTAL UNITS,query_Rent Restricted,PERCENT AFFORDABLE,ESTIMATED VALUE OF EXEMPTION IF IT GOES THROUGH,query_Built,query_HAVE RECIEVED WELFARE TAX EXEMPTION,query_Leasing Link,query_APN No. 1,query_APN No. 2,query_Unnamed: 22,query_Property Taxes Link,query_23 Ass. Value,query_25 Ass. Value,query_Unnamed: 26,query_City's Cut,query_ED 1?,query_Last Tax Amt,query_Last Tax Yr,query_Current Amt,query_Current Yr,query_address_number
5518013007,103 S EDGEMONT STREET LOS ANGELES CA 90004,103 S EDGEMONT ST LOS ANGELES CA 90004-5551,500,Residential - Five or more apartments,R3-1,Multiple Residential,40,GROSS ASSESSED,"$10,674,504.00",,1641 ALEXANDRIA LLC AND,345 N MAPLE DR STE 135,103,EDGEMONT,los-angeles,,0.27005,103 S Edgemont LLLP,Edgemont Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-452,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,43,43,1,"$10,674,504.00",,,,,,,,,,,"$6,450",,,,,,103
5080006008,1057 S WESTERN AVENUE LOS ANGELES CA,1057 S WESTERN AVE LOS ANGELES CA 90006-2344,500,Residential - Five or more apartments,C2-1,Commercial,76,GROSS ASSESSED,"$14,010,916.00",,WESTERN 19 LLC,345 N MAPLE DR STE 135,1057,WESTERN,los-angeles,,0.367,Western 19 LLLP,Western Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-496,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,76,76,1,"$14,010,916.00",,,,,,,,,,,"$11,400",,,,,,1057
6063029029,10705 AVALON BLVD LOS ANGELES CA,10705 AVALON BLVD LOS ANGELES CA 90061-2521,1100,Commercial - Stores,[Q]R4-1,Qualified Multiple Residential,0,GROSS ASSESSED,"$936,360.00",,BIF NON OZ 10705 AVALON BLVD LP,1000 E 60TH ST,10705,AVALON,los-angeles,,0.25721,"PS 10705 Avalon Blvd, LP",10705 Avalon Blvd Apartments,Los Angeles,Los Angeles,,,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,YES,,,68,68,1,"$936,360.00",,,,,,,,,,,"$10,200",YES,,,,,10705
6070003041,10811 S COMPTON AVENUE LOS ANGELES CA,10811 COMPTON AVE LOS ANGELES CA 90059-1143,,,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,2,,,,,,10811,COMPTON,los-angeles,,0.16215,10811 S. Compton Ave Apartments,10811 S. Compton Ave Apartments,Los Angeles,Los Angeles,,,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,29,28,0.9655172414,$0.00,,,,,,,,,,,"$4,200",,,,,,10811
2421011010,10910 HUSTON ST NORTH HOLLYWOOD CA 91601,10910 HUSTON ST NORTH HOLLYWOOD CA 91601-4618,100,Residential - Single,[Q]R3-1,Qualified Multiple Residential,1,GROSS ASSESSED,"$1,417,800.00",,10910 HUSTON LLC,7257 BEVERLY BLVD UNIT 212,10910,HUSTON,los-angeles,,0.1926,10910 Huston LP,Huston Affordable Housing Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-353,8/8/2025,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,,YES,,,38,37,0.9736842105,"$1,380,489.47",,,,,,,,,,,"$5,550",,,,,,10910
6083001009,110 IMPERIAL HIGHWAY LOS ANGELES CA,110 E IMPERIAL HWY LOS ANGELES CA 90061-2543,3100,Industrial - Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,C2-2D-CPIO,Commercial 2 Development Limitations Community Plan Implementation Overlay,0,GROSS ASSESSED,"$429,364.00",,WASHINGTONLANIS E,110 E IMPERIAL HWY,110,IMPERIAL,los-angeles,,0.2368,"BIF NON OZ 2000 Imperial Hwy Blk, LP",2023 Imperial Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-382,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,90,71,0.7888888889,"$338,720.49",,,,,,,,,,,"$10,650",,,,,,110
39612209,1100-1200 E FAIRHAVEN AVENUE SANTA ANA CA,1100.0 FAIRHAVEN AVE SANTA ANA CA 92705-6754,2,,R4,Suburban Apartment,,GROSS ASSESSED,"$15,143,017.00",,BRETT GEORGE H TR G H,2309 PACIFIC COAST HWY,1100,FAIRHAVEN,orange,,2.62481,Post Arbors Santa Ana LP,The Arbors Apartments,Santa Ana,Orange,"Grant up to $10,000",24-222,6/7/2024,Ascenda Capital,Post Investment Group,Integrity Housing,,,,,160,160,1,"$15,143,017.00",1969,,,,,,,,,,"$24,000",,,,,,1100
5081006014,1111 S NORTON AVENUE LOS ANGELES CA 90019,1111 S NORTON AVE LOS ANGELES CA 90019-3363,500,Residential - Five or more apartments,R3-1-O-HPOZ,Multiple Residential Oil Drilling Historic Preservation Overlay Zone,20,GROSS ASSESSED,"$3,121,200.00",,1111 NORTON LLC,PO BOX 46342,1111,NORTON,los-angeles,,0.16144,1111 Norton LLLP,Norton Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-459,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,20,20,1,"$3,121,200.00",,,,,,,,,,,"$3,000",,,,,,1111
5136019023,1136 S ALVARADO STREET LOS ANGELES CA,1136 S ALVARADO ST LOS ANGELES CA 90006-4138,2600,"Commercial - Auto, Recreation EQPT, Construction EQPT, Sales & Service",C2-1-HPOZ,Commercial Historic Preservation Overlay Zone,0,GROSS ASSESSED,"$1,019,592.00",,1132 ALVARADO LLC,1401 WESTWOOD BLVD STE 300,1136,ALVARADO,los-angeles,,0.21521,"Alvarado Affordable Associates, L.P.",Alvarado Streets Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",23-204,07/14/23,Taylor Equities,,"Kingdom Development, Inc.",,,,,24,24,1,"$1,019,592.00",,YES,,,,,,,,,"$3,600",,,,,,1136
31342061,1180 LOCHINVAR AVE SUNNYVALE CA 94087,1180 LOCHINVAR AVE SUNNYVALE CA 94087-5100,4,Five or more Family,R4,High Density Residential,148,ASSESSED,"$69,205,847.00",,SUNNYVALE CROSSINGS APARTMENTS LLC,4970 EL CAMINO REAL STE 220,1180,LOCHINVAR,santa-clara,4.91,5.23451,"Ethos GP I Venture, LP,",The Crossings Apartments,Sunnyvale,Santa Clara,,,11/21/2025,"Ethos GP I Venture, LP",,"Pacific Housing, Inc",,NO,,,148,148,1,"$69,205,847.00",,,,,,,,,,,"$22,200",,,,,,1180
28501900330000,1201 FULTON AVE SACRAMENTO CA 95825,1201.0 FULTON AVE SACRAMENTO CA 95825-7386,AE063A,,RD-30,High Density Multifamily Residential,63,NET ASSESSED,"$15,111,810.00",,1201 FULTON AVE TIC 1 LLCETAL,700 N SAN VICENTE BLVD #G860,1201,FULTON,sacramento,,2.95695,1201 Fulton Ave LP,The Carla Apartments,Unincorporated,Sacramento,"Grant up to $10,000",24-428,11/1/2024,"Trion Properties, Inc.",,Riverside Charitable Corporation,,NO,,,63,62,0.9841269841,"$14,871,940.00",,,,,,,,,,,"$9,300",,,,,,1201
52082450,1212 WHIPPLE AVE REDWOOD CITY CA 94062,1212 WHIPPLE AVE REDWOOD CITY CA 94062-1556,105L,,R-5,Multi Family High Density,66,MARKET,$3.20,,SFF 3 LLC,599 CASTRO ST STE 400,1212,WHIPPLE,san-mateo,,1.05333,"SFF 3, LLC",SoFi Redwood Park Apartments,Redwood City,San Mateo,"Grant up to $10,000 (Charitable Affordable Housing)",25-145,4/25/2025,The Sobrato Organization,,"Pacific Housing, Inc.",,,,12/5/2024,112,112,1,$3.20,,,https://www.theheltsley.com/,052-082-450,,,https://county-taxes.net/ca-sanmateo/services/property-tax/c2FubWF0ZW8tY2E6Z3NneF9wcm9wZXJ0eV90YXg6cGFyZW50czoxM2E3OTkwMy1kNzE2LTExZWMtOTZjMy0wMDUwNTZhNDQzNDc=,,,,"$16,800",,"$276,343.70",2025,,,1212
2321001019,12300 SHERMAN WAY NORTH HOLLYWOOD CA 91605,12300 SHERMAN WAY NORTH HOLLYWOOD CA 91605-5527,501,Residential - Five or more apartments,R3-1,Multiple Residential,236,GROSS ASSESSED,"$33,410,613.00",,POST MARQUEE NORTH HOLLYWOOD LP,8149 SANTA MONICA BLVD STE 298,12300,SHERMAN,los-angeles,,4.49406,"Post Marquee North Hollywood, LP",Marquee Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-383,9/20/2024,Ascenda Capital,,Integrity Housing,,NO,,,236,236,1,"$33,410,613.00",1965,,,,,,,,,,"$35,400",,,,,,12300
12918108,1250 S EUCLID ST ANAHEIM CA,1250.0 S EUCLID ST ANAHEIM CA 92802-1907,2,,RM-4,Multiple Family Residential,168,GROSS ASSESSED,"$43,059,034.00",,EUCLID BALL ASSOC,PO BOX 847,1250,EUCLID,orange,,5.21546,"Coronado Owner, LP",Coronado Palms Apartments,Anaheim,Orange,"Grant up to $10,000 (Charitable Affordable Housing)",25-102,3/14/2025,TriWest Multifamily,,"Kingdom Development, Inc.",,,,,169,68,0.4023668639,"$17,325,528.47",,,,,,,,,,,"$10,200",,,,,,1250
89082034000,1260 GROVE ST HEALDSBURG CA 95448,1260 GROVE ST HEALDSBURG CA 95448-4784,49,ENFORCEABLY RESTRICTED APTS,MU,Mixed Use District,37,TOTAL ASSESSED,"$10,140,095.00",,SVI MFH LLC,DBA CITRINE APARTMENTS,1260,GROVE,sonoma,2,1.97197,"Citrine Preservation, LP",Citrine Apartments,Healdsburg,Sonoma,"Grant up to $10,000",25-485,10/10/2025,The Transcend Group,,Retail Store Employees Building Corporation,,NO,,,37,37,1,"$10,140,095.00",,,,,,,,,,,"$5,550",,,,,,1260
5518013024,130 S ALEXANDRIA AVENUE LOS ANGELES CA,130 S ALEXANDRIA AVE LOS ANGELES CA 90004-2791,500,Residential - Five or more apartments,R3-1,Multiple Residential,30,GROSS ASSESSED,"$13,742,642.00",,130 ALEXANDRIA LLC,11030 SANTA MONICA BLVD STE 300,130,ALEXANDRIA,los-angeles,,0.55033,130 Alexandria LLLP,Alexandria II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-487,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,30,30,1,"$13,742,642.00",,,,,,,,,,,"$4,500",,,,,,130
4291019006,1422-1428 6TH ST SANTA MONICA CA,1422 6TH ST SANTA MONICA CA 90401-2542,1210,Commercial - Store Combination,TA,Transit Adjacent,28,GROSS ASSESSED,"$5,022,833.00",,GC 1422 1428 6TH LP,3019 OCEAN PARK BLVD,1422,6TH,los-angeles,,0.17217,"GC 1422-1428 6th, LP",Santa Monica Portfolio A Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-280,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",https://www.1422on6th.com/,NO,"$17,170,000",09/12/2024,52,32,0.6153846154,"$3,090,974.15",1997,YES,,4291019006,4291019007,,,,,,"$4,800",,,,,,1422
4291020005,1422-1432 7TH SANTA MONICA CA,1422 7TH ST SANTA MONICA CA 90401-2653,500,Residential - Five or more apartments,NV,Neighborhood Village,28,GROSS ASSESSED,"$5,022,833.00",,GC 1422 1432 7TH LP,3019 OCEAN PARK BLVD STE 730,1422,7TH,los-angeles,,0.17165,"GC 1422-1432 7th, LP",Santa Monica Portfolio B Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-281,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,72,49,0.6805555556,"$3,418,316.90",,YES,,,,,,,,,"$7,350",,,,,,1422
4291020019,1423-1425 6TH SANTA MONICA CA,1423 6TH ST SANTA MONICA CA 90401-2593,500,Residential - Five or more apartments,NV,Neighborhood Village,24,GROSS ASSESSED,"$4,290,695.00",,GC 1423 1425 6TH LP,3019 OCEAN PARK BLVD STE 730,1423,6TH,los-angeles,,0.17268,"GC 1423-1425 6th, LP",Santa Monica Portfolio C Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-282,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,48,29,0.6041666667,"$2,592,294.90",,YES,,,,,,,,,"$4,350",,,,,,1423
4291024007,1522 6TH ST SANTA MONICA CA,1522 6TH ST SANTA MONICA CA 90401-2548,550,Residential - Five or more apartments,TA,Transit Adjacent,26,GROSS ASSESSED,"$4,530,218.00",,GC 1522 6TH LP,3019 OCEAN PARK BLVD STE 730,1522,6TH,los-angeles,,0.17185,"GC 1522 6th, LP",Santa Monica Portfolio D Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-283,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,,,26,25,0.9615384615,"$4,355,978.85",2004,YES,,4291024007,,,,"4,363,959","871,160",,"$3,750",,,,,,1522
4291022015,1537 7TH SANTA MONICA CA,1537 7TH ST SANTA MONICA CA 90401-2672,540,Residential - Five or more apartments,TA,Transit Adjacent,36,GROSS ASSESSED,"$4,620,825.00",,GC 1537 7TH LP,3019 OCEAN PARK BLVD STE 730,1537,7TH,los-angeles,,0.17212,"GC 1537 7th, LP",Santa Monica Portfolio E Apartments,Santa Monica,Los Angeles,"Grant up to $10,000",24-284,8/9/2024,Gortikov Capital,,"Kingdom Development, Inc.",,,"$5,390,000",9/12/2024,26,25,0.9615384615,"$4,443,100.96",,YES,,4291022015,,,,"4,469,095","532,780",,"$3,750",,,,,,1537
25404108,1700 NEWBURY PARK DR SAN JOSE CA 95133,1700 NEWBURY PARK DR SAN JOSE CA 95133-1771,4,Five or more Family,A(PD,Agriculture Planned Development,230,ASSESSED,"$110,842,508.00",,STOCKBRIDGE NEWBURY PARK LLC,4 EMBARCADERO UNIT 3000,1700,NEWBURY PARK,santa-clara,2.86,2.81564,"Ethos GP I Venture, LP",LINQ Apartments,San Jose,Santa Clara,"Grant up to $10,000 (Charitable Affordable Housing)",25-305,7/18/2025,Ethos Real Estate,,"Pacific Housing, Inc",,,,9/3/2025,230,230,1,"$110,842,508.00",,,,254-04-108,,,,,,,"$34,500",,,,,,1700
