cand_parcelnumb_no_formatting,query_Address,cand_address,cand_usecode,cand_usedesc,cand_zoning,cand_zoning_description,cand_numunits,cand_parvaltype,cand_parval,exemption value,cand_owner,cand_mailadd,cand_saddno,cand_saddstr,cand_county,cand_gisacre,cand_ll_gisacre,query_Applicant / Entity,query_Property Name,query_City,query_County
5518013007,103 S EDGEMONT STREET LOS ANGELES CA 90004,103 S EDGEMONT ST LOS ANGELES CA 90004-5551,500,Residential - Five or more apartments,R3-1,Multiple Residential,40,GROSS ASSESSED,"$10,674,504",,1641 ALEXANDRIA LLC AND,345 N MAPLE DR STE 135,103,EDGEMONT,los-angeles,,0.27005,103 S Edgemont LLLP,Edgemont Apartments,Los Angeles,Los Angeles
5080006008,1057 S WESTERN AVENUE LOS ANGELES CA,1057 S WESTERN AVE LOS ANGELES CA 90006-2344,500,Residential - Five or more apartments,C2-1,Commercial,76,GROSS ASSESSED,"$14,010,916",,WESTERN 19 LLC,345 N MAPLE DR STE 135,1057,WESTERN,los-angeles,,0.367,Western 19 LLLP,Western Apartments,Los Angeles,Los Angeles
6063029029,10705 AVALON BLVD LOS ANGELES CA,10705 AVALON BLVD LOS ANGELES CA 90061-2521,1100,Commercial - Stores,[Q]R4-1,Qualified Multiple Residential,0,GROSS ASSESSED,"$936,360",,BIF NON OZ 10705 AVALON BLVD LP,1000 E 60TH ST,10705,AVALON,los-angeles,,0.25721,"PS 10705 Avalon Blvd, LP",10705 Avalon Blvd Apartments,Los Angeles,Los Angeles
6070-003-038,10811 S COMPTON AVENUE LOS ANGELES CA,10811 COMPTON AVE LOS ANGELES CA 90059,,,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,2,,,,,,10811,COMPTON,los-angeles,,0.16215,10811 S. Compton Ave Apartments,10811 S. Compton Ave Apartments,Los Angeles,Los Angeles
2421011010,10910 HUSTON ST NORTH HOLLYWOOD CA 91601,10910 HUSTON ST NORTH HOLLYWOOD CA 91601-4618,100,Residential - Single,[Q]R3-1,Qualified Multiple Residential,1,GROSS ASSESSED,"$1,417,800",,10910 HUSTON LLC,7257 BEVERLY BLVD UNIT 212,10910,HUSTON,los-angeles,,0.1926,10910 Huston LP,Huston Affordable Housing Apartments,Los Angeles,Los Angeles
6083001009,110 IMPERIAL HIGHWAY LOS ANGELES CA,110 E IMPERIAL HWY LOS ANGELES CA 90061-2543,3100,Industrial - Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,C2-2D-CPIO,Commercial 2 Development Limitations Community Plan Implementation Overlay,0,GROSS ASSESSED,"$429,364",,WASHINGTONLANIS E,110 E IMPERIAL HWY,110,IMPERIAL,los-angeles,,0.2368,"BIF NON OZ 2000 Imperial Hwy Blk, LP",2023 Imperial Apartments,Los Angeles,Los Angeles
39612209,1100-1200 E FAIRHAVEN AVENUE SANTA ANA CA,1100.0 FAIRHAVEN AVE SANTA ANA CA 92705-6754,2,,R4,Suburban Apartment,,GROSS ASSESSED,"$18,340,000",-,BRETT GEORGE H TR G H,2309 PACIFIC COAST HWY,1100,FAIRHAVEN,orange,,2.62481,Post Arbors Santa Ana LP,The Arbors Apartments,Santa Ana,Orange
39612130,1100-1200 E FAIRHAVEN AVENUE SANTA ANA CA,1200 FAIRHAVEN AVE SANTA ANA CA 92705-6754,,,,,,,"$22,410,000",-,,,,,,,,Post Arbors Santa Ana LP,The Arbors Apartments,Santa Ana,Orange
5081006014,1111 S NORTON AVENUE LOS ANGELES CA 90019,1111 S NORTON AVE LOS ANGELES CA 90019-3363,500,Residential - Five or more apartments,R3-1-O-HPOZ,Multiple Residential Oil Drilling Historic Preservation Overlay Zone,20,GROSS ASSESSED,"$3,121,200",,1111 NORTON LLC,PO BOX 46342,1111,NORTON,los-angeles,,0.16144,1111 Norton LLLP,Norton Apartments,Los Angeles,Los Angeles
5136019023,1136 S ALVARADO STREET LOS ANGELES CA,1136 S ALVARADO ST LOS ANGELES CA 90006-4138,2600,"Commercial - Auto, Recreation EQPT, Construction EQPT, Sales & Service",C2-1-HPOZ,Commercial Historic Preservation Overlay Zone,0,GROSS ASSESSED,"$4,447,710"," $ 4,262,686 ",1132 ALVARADO LLC,1401 WESTWOOD BLVD STE 300,1136,ALVARADO,los-angeles,,0.21521,"Alvarado Affordable Associates, L.P.",Alvarado Streets Apartments,Los Angeles,Los Angeles
31342061,1180 LOCHINVAR AVE SUNNYVALE CA 94087,1180 LOCHINVAR AVE SUNNYVALE CA 94087-5100,4,Five or more Family,R4,High Density Residential,148,ASSESSED,"$70,919,811",-,SUNNYVALE CROSSINGS APARTMENTS LLC,4970 EL CAMINO REAL STE 220,1180,LOCHINVAR,santa-clara,4.91,5.23451,"Ethos GP I Venture, LP,",The Crossings Apartments,Sunnyvale,Santa Clara
28501900330000,1201 FULTON AVE SACRAMENTO CA 95825,1201.0 FULTON AVE SACRAMENTO CA 95825-7386,AE063A,,RD-30,High Density Multifamily Residential,63,NET ASSESSED,"$15,111,810",,1201 FULTON AVE TIC 1 LLCETAL,700 N SAN VICENTE BLVD #G860,1201,FULTON,sacramento,,2.95695,1201 Fulton Ave LP,The Carla Apartments,Unincorporated,Sacramento
52082450,1212 WHIPPLE AVE REDWOOD CITY CA 94062,1212 WHIPPLE AVE REDWOOD CITY CA 94062-1556,105L,,R-5,Multi Family High Density,66,MARKET,"$25,240,000",-,SFF 3 LLC,599 CASTRO ST STE 400,1212,WHIPPLE,san-mateo,,1.05333,"SFF 3, LLC",SoFi Redwood Park Apartments,Redwood City,San Mateo
2321001019,12300 SHERMAN WAY NORTH HOLLYWOOD CA 91605,12300 SHERMAN WAY NORTH HOLLYWOOD CA 91605-5527,501,Residential - Five or more apartments,R3-1,Multiple Residential,236,GROSS ASSESSED,"$33,410,613",,POST MARQUEE NORTH HOLLYWOOD LP,8149 SANTA MONICA BLVD STE 298,12300,SHERMAN,los-angeles,,4.49406,"Post Marquee North Hollywood, LP",Marquee Apartments,Los Angeles,Los Angeles
12918108,1250 S EUCLID ST ANAHEIM CA,1250.0 S EUCLID ST ANAHEIM CA 92802-1907,2,,RM-4,Multiple Family Residential,168,GROSS ASSESSED,"$60,690,000",-,EUCLID BALL ASSOC,PO BOX 847,1250,EUCLID,orange,,5.21546,"Coronado Owner, LP",Coronado Palms Apartments,Anaheim,Orange
