Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,DEAD?,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date,Regulatory Term,Closing Fee,CMFA Annual Fee,YEARS IN SERVICE,ANNUAL FEES PAID,SCC FILED?
238,Heritage Park Apartments Livermore,Standard Heritage Livermore Owner LP,Livermore,Alameda,CMFA,"Loan / $100,000",,2022-04-08,,Standard Property Company,,Housing on Merit,False,167,125,,"900 E Stanley Blvd, Livermore, CA 94550",,,,,,,,,,,,,NO,1988,,,,100200,25050,-,#VALUE!,True
192,Heritage Village Anaheim Apartments,Standard Heritage Anaheim Owner LP,Anaheim,Orange,CMFA,"Loan / $100,000",,2022-04-15,,Standard Property Company,,Housing on Merit,False,196,157,0.8010204082,"707 W Santa Ana Street, Anaheim CA 92805",16850,True,True,67860998,67860998,48922239.88,67860998,,0,0,,,,,,,,117600,29400,-,#VALUE!,True
193,Heritage Park Escondido Apartments,STANDARD HERITAGE ESCONDIDO OWNER LP,Escondido,San Diego,CMFA,"Loan / $100,000",,2022-04-15,,Standard Property Company,,Housing on Merit,False,196,157,0.8010204082,"2549 E. Valley Parkway, Escondido, CA 92027",15766,True,True,49668778,49157189,35807134.34,49157189,,0,,,,,,,,,117600,29400,-,#VALUE!,
1,Alvarado Streets Apartments,"Alvarado Affordable Associates, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",23-204,2023-07-14,,Taylor Equities,,"Kingdom Development, Inc.",False,24,24,1,"1136 S. Alvarado Street, Los Angeles, CA",3600,True,True,4447710,4262686,4002939,4262686,0.0118738,50614.28103,50614.28103,,,,,,,,14400,4000,2,8000,True
4,Bernardine Apartments,"Castle Rock Bernardine Apartments, LP",San Bernardino,San Bernardino,CMFA,"Grant up to $10,000",23-222,2023-08-04,,Quest Capital Partners,,Affordable Rent Project,False,71,70,,"363 E. Gilbert St., San Bernardino, CA",10650,True,True,4156500,4156500,3688161.972,4156500,0.0113,46968.45,46968.45,,,,,,,,42600,10650,2,21300,True
2,2025 New Jersey Apartments,"2025 NJ, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",23-223,2023-08-04,,"Eleos Ventures, LLC",,Step Forward Communities,False,15,14,0.9333333333,"2025 New Jersey St, Los Angeles, CA",2250,True,True,527950,527950,443478,527950,0.0118738,6268.77271,6268.77271,,,,2023,,,,10000,4000,2,8000,True
3,Mariposa Club Apartments,"Mariposa Club Apartments I, LP",Mountain View,Santa Clara,CMFA,"Grant up to $10,000",23-224,2023-08-04,,Prometheus Real Estate Group,,Hearthstone Housing Foundation,False,48,48,,"660 Mariposa Ave., Mountain View, CA",7500,True,True,17059601,16718409,15353640.9,16718409,0.011211,187430.0833,187430.0833,,,,,,,,28800,7200,2,14400,True
5,"City View aka Outlook at Mission Valley
Apartments",Mission Valley Preservation LP,San Diego,San Diego,CMFA,"Grant up to $10,000",23-275,2023-08-25,,Securities Properties,,Las Palmas Housing & Development,False,56,23,,"840 17th St, San Diego, CA 92101",8400,True,False,9316117,0,3443636.105,3443636.105,0.0125114,0,43084.70877,,,,,,,,33600,8400,2,16800,True
6,381 Turk Street Apartment,381 Turk Street Associates,San Francisco,San Francisco,CMFA,"Grant up to $10,000",23-307,2023-09-15,True,"Mosser Capital, LLC",,"Kingdom Development, Inc.",False,32,13,,"381 Turk St., San Francisco, CA",4800,True,False,7398189,0,2704962.853,2704962.853,0.012,0,32459.55424,,,,,,,,19200,4800,2,9600,
7,Townhomes at Gading Apartments,"SFF 2, LLC",Hayward,Alameda,CMFA,"Grant up to $10,000",23-370,2023-12-08,,The Sobrato Organization,,Sobrato Foundation,False,61,61,,"26409 Gading Rd, Hayward, CA 94544",9150,True,False,17313480,0,15582132,15582132,0.011724,0,182684.9156,,https://www.townhomesongadingapts.com/,,,,,,36600,9150,2,18300,
8,1317 S. Grand Apartments,"1317 SGA QOZB, LP or an affiliate thereof",Los Angeles,Los Angeles,CMFA,,23-371,2023-12-08,,Housing Diversity Corporation,,PEP Housing,False,147,147,1,"1317 S. Grand St, Los Angeles, CA 90015",22050,True,False,11783947,0,10605552.3,10605552.3,0.0118738,0,125928.2069,,,,,,,,88200,22050,2,44100,True
9,1411 S. Flower Apartments,Housing Diversity,Los Angeles,Los Angeles,CMFA,,23-372,2023-12-08,,Housing Diversity Corporation,Arctaris Impact Investors,PEP Housing,False,227,227,1,"1411 Flower St, Los Angeles, CA 90015",34050,True,False,9142457,0,8228211.3,8228211.3,0.0118738,0,97700.13533,,,,,,,,136200,34050,2,68100,
10,7518 Hoover St. Apartments,"BIF NON OZ 7518 S Hoover St, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-041,2024-02-02,,"SoLa Impact, LLC",Black Impact Group,Housing on Merit,False,79,48,0.6075949367,"7518 S. Hoover, Los Angeles, CA 90044",11850,True,False,2856000,0,1561762.025,1561762.025,0.0118738,0,18544.04994,,,,,,,,47400,11850,2,23700,True
