project_id,county,property,ain,legacy_ain,legacy_redundant,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_total_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes,CMFA Total Units,CMFA Restricted,Total Tax Rate
1,Los Angeles,Alvarado Streets Apartments,5136019013,,False,5136-019-013,1136 S ALVARADO ST LOS ANGELES CA 90006,LOS ANGELES CA,90006-4138,"1136 S. Alvarado Street, Los Angeles, CA",Alvarado Streets Apartments,,manual_verified,Five or more apartments,Residential,500,1912,24,0,24,16113,2025,2080800,2366910,4447710,2023,2023,4262686,36,LOS ANGELES,34.0491403,-118.2810431,ALVARADO HEIGHTS LOT    4 BLK    6,Corrected from AIN 5136019023 (auto/equipment use) to 5136019013 (apartments),24,24,0.0118738
2,Los Angeles,2025 New Jersey Apartments,5183001017,,False,5183-001-017,2025 NEW JERSEY ST LOS ANGELES CA 90033,LOS ANGELES CA,90033-2805,"2025 New Jersey St, Los Angeles, CA",2025 New Jersey Apartments,,manual_verified,Five or more apartments,Residential,050V,,,,,,2025,527950,0,527950,2018,2018,527950,4,LOS ANGELES,34.0480109,-118.21232372,SUBDN OF LOT 2 BLK 60 H S NW 20 FT OF LOT 3 AND SE 20 FT OF LOT    5 BLK    A,,15,14,0.0118738
3,Santa Clara,Mariposa Club Apartments,15434025,,False,,660 MARIPOSA AVE MOUNTAIN VIEW CA 94041-1867,,,,,,,,,,,,,,,,-,-,17059601,,,16718409,Mountain View,,,,,,48,48,0.011211
4,San Bernardino,Bernardine Apartments,147091180000,,False,,363 E GILBERT ST SAN BERNARDINO CA 92404-5343,,,,,,,,,,,,,,,,-,-,4156500,,,4156500,San Bernardino,,,,,,71,70,0.0113
5,San Diego,"City View aka Outlook at Mission Valley
Apartments",5343602100,,False,,840.0 17TH ST SAN DIEGO CA 92101-6666,,,,,,,,,,,,,,,,-,-,9316117,,,,San Diego,,,,,,56,23,0.0125114
6,San Francisco,381 Turk Street Apartment,0345012C,,False,,381 TURK ST SAN FRANCISCO CA 94102-3749,,,,,,,,,,,,,,,,-,-,7398189,,,,San Francisco,,,,,,32,13,0.012
7,Alameda,Townhomes at Gading Apartments,454251243,,False,454-25-124-3,26409 GADING RD HAYWARD CA 94544-3603,,,,,,,,,,,,,,,,4845000,12468480,17313480,,,0,Hayward,,,,,,61,61,0.011724
8,Los Angeles,1317 S. Grand Apartments,5134017037,5134017016,False,5134-017-037,1317 S GRAND AVE LOS ANGELES CA 900015,LOS ANGELES CA,90015-3008,"1317 S. Grand St, Los Angeles, CA 90015",1317 S. Grand Apartments,,parcel_in_transition,Multi-Family Residence,Residential,,,147,,,65894,2025,5905687,5878260,11783947,2020,2023,,13264,LOS ANGELES,34.03849628,-118.26502654,,AIN not in DB,147,147,0.0118738
9,Los Angeles,1411 S. Flower Apartments,5134009025,5134009008,False,5134-009-025,1411 S FLOWER ST,LOS ANGELES CA,,"1411 Flower St, Los Angeles, CA 90015",1411 S. Flower Apartments,,parcel_in_transition,Multi-Family Residence,Residential,05S0,2024,227,,,97266,2025,4643633,4498824,9142457,2021,2024,,13264,LOS ANGELES,34.03799902,-118.26860234,,Multi-parcel (2). AIN not in DB.,227,227,0.0118738
9,Los Angeles,1411 S. Flower Apartments,5134009024,5134009007,True,5134-009-024,,,,"1411 Flower St, Los Angeles, CA 90015",1411 S. Flower Apartments,,parcel_in_transition,(pending),,,,,,,,,0,0,0,,,,13264,LOS ANGELES,34.03799902,-118.26860234,,Multi-parcel (2). AIN not in DB.,227,227,0.0118738
10,Los Angeles,7518 Hoover St. Apartments,6020022027,6020022025,False,6020-022-027,7524 S HOOVER ST,LOS ANGELES CA,,"7518 S. Hoover, Los Angeles, CA 90044",7518 Hoover St. Apartments,,parcel_in_transition,(pending),,,,,,,,2025,2856000,0,2856000,2024,2024,0,212,LOS ANGELES,33.97101635,-118.28678824,,Multi-parcel (2). AIN not in DB.,79,48,0.0118738
11,Alameda,820 MacArthur Apartments,1295996,,False,12-959-9-6,820 W MACARTHUR BLVD OAKLAND CA 94608,,,,,,,,,,,,,,,,2013882,-,2013882,,,7089890,Oakland,,,,,,166,166,0.012779
12,Los Angeles,The Waterloo Apartments,5402028023,,False,5402-028-023,801 WATERLOO ST LOS ANGELES CA 90026,LOS ANGELES CA,90026-4039,"801-809 Waterloo Street, Los Angeles, CA",The Waterloo Apartments,,manual_verified,Five or more apartments,Residential,500,1917,4,4,4,3838,2025,985000,375000,1360000,2025,2025,0,13,LOS ANGELES,34.07581866,-118.26848761,WATERLOO TRACT LOT   12 BLK    1,,154,154,0.0118738
13,San Francisco,275 Turk Street Apartments,344007,,False,,275 TURK ST SAN FRANCISCO CA 94102-3831,,,,,,,,,,,,,,,,-,-,17116303,,,,San Francisco,,,,,,66,27,0.012
14,Alameda,Electric Lofts Apartments,867281,,False,8-672-8-1,2415 VALDEZ ST OAKLAND CA 94612-3600,,,,,,,,,,,,,,,,3128977,21128180,24257157,,,,Oakland,,,,,,89,40,0.012779
15,Los Angeles,Premiere Hollywood Apartments,5547013021,,False,5547-013-021,6762 HAWTHORN AVE LOS ANGELES CA 90028,LOS ANGELES CA,90028-6108,"6762 Hawthorn Ave, Los Angeles, CA 90028",Premiere Hollywood Apartments,,manual_verified,Five or more apartments,Residential,500,2022,69,0,69,34696,2025,4462074,4244683,8706757,2021,2022,0,200,LOS ANGELES,34.10040297,-118.33729303,G F STEVENSON TR LOT 13,,69,69,0.0118738
17,Los Angeles,4252 Crenshaw Apartments,5024017036,,False,5024-017-036,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,LOS ANGELES CA,90008,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,4252 Crenshaw Apartments,,manual_verified,Five or more apartments,Residential,504,2019,111,99,99,49252,2025,4167019,22747841,26914860,2019,2020,26914860,8841,LOS ANGELES,34.00645295,-118.33415945,"TR=10023 LOTS 93, 94, 95, 96, 97 AND 98",,111,111,0.0118738
18,San Diego,Fallbrook Trail Apartments,1043514700,,False,,1735.0 S MISSION RD FALLBROOK CA 92028-4548,,,,,,,,,,,,,,,,-,-,32460480,,,,Carlsbad,,,,,,103,102,0.010783
19,Orange,The Arbors Apartments,39612209,,False,,1100.0 FAIRHAVEN AVE SANTA ANA CA 92705-6754,,,,,,,,,,,,,,,,-,-,18340000,,,,Santa Ana,,,,,,160,160,0.011195
19,Orange,The Arbors Apartments,39612130,,False,,1200 FAIRHAVEN AVE SANTA ANA CA 92705-6754,,,,,,,,,,,,,,,,-,-,22410000,,,,Santa Ana,,,,,,160,160,0.011195
