tax_rate_area,total_rate,base_city_rate (prop 13),additional_city_rate,school_rate,other_rate
4,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
7,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
13,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
16,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
36,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
67,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
68,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
200,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
210,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
212,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
400,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
401,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
460,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
461,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
501,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
594,0.013851479999999998,0.01,0.0021,0.00168148,7.000000000000001e-05
2241,0.012330859999999999,0.01,0,0.0016259599999999999,0.0007049
2519,0.011355719999999998,0.01,0,0.00128572,7.000000000000001e-05
2525,0.011355719999999998,0.01,0,0.00128572,7.000000000000001e-05
3122,0.01175703,0.01,0,0.00168703,7.000000000000001e-05
3622,0.013231919999999998,0.01,0.0013,0.00186192,7.000000000000001e-05
4569,0.012807649999999999,0.01,0.00146958,0.00126807,7.000000000000001e-05
6650,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
6654,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
6657,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
6659,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
6660,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
7211,0.01206499,0.01,0,0.0019949900000000003,7.000000000000001e-05
8004,0.01203757,0.01,0,0.00196757,7.000000000000001e-05
8604,0.01203757,0.01,0,0.00196757,7.000000000000001e-05
8819,0.0116448,0.01,0,0.0013448,0.0003
8830,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
8841,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
8852,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
12703,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
13245,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
13264,0.011873799999999999,0.01,0.00012232,0.00168148,7.000000000000001e-05
Healdsburg,0.0115,0.01,0.000445,0.001055,
Benicia,0.01193723,0.01,0,0.0016372300000000002,0.0003
Dixon,0.01127902,0.01,0,0.00107902,0.0002
Fairfield,0.01132523,0.01,2.3e-05,0.00110223,0.0002
Rio Vista,0.010827,0.01,0,0.0006270000000000001,0.0002
Suisun,0.01132673,0.01,2.45e-05,0.00110223,0.0002
Vacaville,0.0117033,0.01,0.0003035,0.0011998,0.0002
Vallejo,0.01133439,0.01,0,0.0011343899999999999,0.0002
Los Altos,0.011268,0.01,0,0.001083,0.000185
Mountain View,0.011211,0.01,0,0.00105,0.000161
San Jose,0.012401,0.01,0.000197,0.002057,0.000147
Sunnyvale,0.011322,0.01,0,0.001161,0.000161
Campbell,0.011522,0.01,0.00017,0.001181,0.000171
Cupertino,0.011234,0.01,0,0.0010630000000000001,0.000171
Gilroy,0.011798,0.01,0.000125,0.001502,0.000171
Los Altos Hills,0.011142,0.01,0,0.000957,0.000185
Los Gatos,0.011071,0.01,0,0.00091,0.000161
Milpitas,0.011001,0.01,0,0.00083,0.000171
Monte Sereno,0.011625,0.01,0,0.0014399999999999999,0.000185
Morgan Hill,0.010909,0.01,0,0.000738,0.000171
Palo Alto,0.0116255,0.01,7.45e-05,0.0013900000000000002,0.000161
Santa Clara,0.011437,0.01,0.000287,0.001003,0.000147
Saratoga,0.011661,0.01,3.6e-05,0.0014399999999999999,0.000185
San Francisco,0.012,0.01,0,0.00025,0.00175
Carlsbad,0.010783,0.01,0,0.000713,7.000000000000001e-05
Chula Vista,0.0118748,0.01,0.0005714,0.0012334,7.000000000000001e-05
Coronado,0.0105331,0.01,0,0.0005331,0
Del Mar,0.0106384,0.01,0,0.0005684,7.000000000000001e-05
El Cajon,0.0117108,0.01,0,0.0010045,0.0007063
Encinitas,0.0105702,0.01,0,0.0003143,0.00025590000000000004
Escondido,0.0114011,0.01,0.0003824,0.00028680000000000003,0.0007319000000000001
Imperial Beach,0.0120381,0.01,0,0.0012334,0.0008047
La Mesa,0.0119599,0.01,0.0005365000000000001,0.0010045,0.0004189
Lemon Grove,0.0127164,0.01,0.001443,0.0010045,0.00026890000000000003
National City,0.0117402,0.01,0,0.0012334,0.0005068000000000001
Oceanside,0.0111741,0.01,0,0.0011041,7.000000000000001e-05
Poway,0.0112109,0.01,0,0.0007106,0.0005003
San Diego,0.0125114,0.01,0,0.0023914,0.00012
San Marcos,0.0114247,0.01,0,0.0008544000000000001,0.0005702999999999999
Santee,0.0117129,0.01,0.0004395,0.0010045,0.00026890000000000003
Solana Beach,0.0106109,0.01,0.0002266,0.0003143,7.000000000000001e-05
Vista,0.0112952,0.01,0,0.0010349,0.0002603
Oakland,0.012779,0.01,0.0012,0.001332,0.000247
Berkeley,0.012323,0.01,0.00049,0.001586,0.000247
Hayward,0.011724,0.01,0,0.0012889999999999998,0.00043499999999999995
Fremont,0.011741,0.01,3.2e-05,0.0011840000000000002,0.000525
Atherton,0.010913,0.01,0,0.000899,1.4e-05
Belmont,0.010913,0.01,0,0.000899,1.4e-05
Brisbane,0.01156,0.01,0,0.0015459999999999998,1.4e-05
Burlingame,0.011196,0.01,0,0.0011819999999999999,1.4e-05
Colma,0.011602,0.01,0,0.001588,1.4e-05
Daly City,0.011602,0.01,0,0.001588,1.4e-05
East Palo Alto,0.011191,0.01,0,0.001177,1.4e-05
Foster City,0.01086,0.01,1.4e-05,0.000832,1.4e-05
Half Moon Bay,0.011774,0.01,0,0.0017599999999999998,1.4e-05
Hillsborough,0.011602,0.01,0,0.001588,1.4e-05
Menlo Park,0.011602,0.01,0,0.001588,1.4e-05
Millbrae,0.010718,0.01,9.2e-05,0.000612,1.4e-05
Pacifica,0.011774,0.01,0,0.0017599999999999998,1.4e-05
Portola Valley,0.01086,0.01,0,0.000846,1.4e-05
Redwood City,0.010941,0.01,0,0.0009270000000000001,1.4e-05
San Bruno,0.010941,0.01,0,0.0009270000000000001,1.4e-05
San Carlos,0.010831,0.01,0,0.0008169999999999999,1.4e-05
San Mateo,0.011201,0.01,3e-05,0.001157,1.4e-05
South San Francisco,0.011201,0.01,3e-05,0.001157,1.4e-05
Woodside,0.010935,0.01,0,0.000921,1.4e-05
San Bernardino,0.0113,0.01,0,0.0006,0.0007
San Rafael,0.01084,0.01,0.00014,0.0004,0.0003
American Canyon,0.010944,0.01,0,0.000936,8e-06
Santa Maria,0.010472,0.01,0,0.000242,0.00023
Fresno,0.0125,0.01,0,0.0023,0.0002
Anaheim,0.011372,0.01,0,0.0013020000000000002,7.000000000000001e-05
Brea,0.011309,0.01,0.00045,0.000789,7.000000000000001e-05
Fullerton,0.011508,0.01,0.00045,0.0010580000000000001,0
Huntington Beach,0.010914,0.01,0.00015,0.0006940000000000001,7.000000000000001e-05
Laguna Beach,0.010159,0.01,0,8.9e-05,7.000000000000001e-05
La Habra,0.011128,0.01,0,0.0010580000000000001,7.000000000000001e-05
Newport Beach,0.010477,0.01,0,0.000407,7.000000000000001e-05
Orange,0.010593,0.01,0,0.000523,7.000000000000001e-05
Placentia,0.010599,0.01,0,0.0005290000000000001,7.000000000000001e-05
San Clemente,0.010084,0.01,0,1.4e-05,7.000000000000001e-05
Santa Ana,0.011195,0.01,0,0.0011250000000000001,7.000000000000001e-05
Seal Beach,0.011125,0.01,0,0.001055,7.000000000000001e-05
Tustin,0.010915,0.01,0,0.000845,7.000000000000001e-05
Buena Park,0.011372,0.01,0,0.0013020000000000002,7.000000000000001e-05
Costa Mesa,0.010477,0.01,0,0.000407,7.000000000000001e-05
La Palma,0.011162,0.01,0,0.001092,7.000000000000001e-05
Stanton,0.011333,0.01,0,0.001263,7.000000000000001e-05
Garden Grove,0.011369,0.01,0,0.0012989999999999998,7.000000000000001e-05
Cypress,0.011132,0.01,0,0.001062,7.000000000000001e-05
Westminster,0.010953,0.01,0,0.000883,7.000000000000001e-05
Fountain Valley,0.010883,0.01,0,0.0008129999999999999,7.000000000000001e-05
Los Alamitos,0.011132,0.01,0,0.001062,7.000000000000001e-05
San Juan Capistrano,0.010248,0.01,0.000164,1.4e-05,7.000000000000001e-05
Villa Park,0.010593,0.01,0,0.000523,7.000000000000001e-05
Yorba Linda,0.010599,0.01,0,0.0005290000000000001,7.000000000000001e-05
Irvine,0.010599,0.01,0,0.0005290000000000001,7.000000000000001e-05
Mission Viejo,0.010265,0.01,0,0.000195,7.000000000000001e-05
Dana Point,0.010265,0.01,0,0.000195,7.000000000000001e-05
Laguna Niguel,0.010265,0.01,0,0.000195,7.000000000000001e-05
Lake Forest,0.010084,0.01,0,1.4e-05,7.000000000000001e-05
Laguna Hills,0.010265,0.01,0,0.000195,7.000000000000001e-05
Laguna Woods,0.010265,0.01,0,0.000195,7.000000000000001e-05
Rancho Santa Margarita,0.010084,0.01,0,1.4e-05,7.000000000000001e-05
Aliso Viejo,0.010265,0.01,0,0.000195,7.000000000000001e-05
Isleton,0.010644,0.01,0,0.000644,0
Sacramento,0.011454,0.01,0,0.001454,0
Folsom,0.010719,0.01,0,0.000719,0
Galt,0.010823,0.01,0,0.000823,0
Citrus Heights,0.011775,0.01,0,0.0017749999999999999,0
Elk Grove,0.010457,0.01,0,0.000457,0
Rancho Cordova,0.010719,0.01,0,0.000719,0
Antioch,0.01118,0.01,0,0.001,0.00017999999999999998
Brentwood,0.011084,0.01,4.6e-05,0.000858,0.00017999999999999998
Clayton,0.010992,0.01,0,0.0008119999999999999,0.00017999999999999998
