key,project_id
2025 new jersey|2023-07-14,301
bernardine|2023-07-14,302
10705 avalon blvd|2024-02-02,303
820 macarthur|2024-02-02,304
4252 crenshaw|2024-04-26,305
montessa|2024-04-26,306
2330 3rd st|2024-08-09,307
hillsdale gardens|2024-08-30,308
6171 mission gorge|2024-09-20,309
horizon|2024-09-20,310
main st|2024-11-01,311
2245 amherst|2025-01-10,312
bella vista at hilltop|2025-01-10,313
elevate long beach|2025-01-10,314
cherokee ave|2025-01-31,315
electric lofts|2025-01-31,316
oak park|2025-01-31,317
3901 normandie ave|2025-02-21,318
501 s burlington ave|2025-02-21,319
625 s burlington ave|2025-02-21,320
brookhollow|2025-02-21,321
emerald pointe|2025-02-21,322
meridian|2025-02-21,323
river court|2025-02-21,324
shadowbrook|2025-02-21,325
the groves at east tabor|2025-02-21,326
569th w 6th st|2025-03-14,327
avid south & lime|2025-03-14,328
aspire arden|2025-04-04,329
569 w 6th|2025-04-25,330
685 w 4th|2025-04-25,331
summer house|2025-04-25,332
9750 airport blvd|2025-05-30,333
bella vista at hilltop|2025-05-30,334
chadwick|2025-05-30,335
17188 chatsworth st|2025-06-06,336
bella vista at hilltop|2025-06-06,337
chadwick|2025-06-06,338
violet on virgil|2025-06-27,339
236 berendo st|2025-07-18,340
meridian|2025-07-18,341
mosaic|2025-07-18,342
ventana rental homes|2025-07-18,343
11001 s vermont ave|2025-08-08,344
meridian|2025-08-08,345
citrine|2025-08-29,346
sandpiper cove|2025-09-19,347
4228 western|2025-10-24,348
4228 western ave|2025-11-07,349
hawaiian gardens senior|2025-11-21,350
12th st|2026-01-09,351
redwood square|2026-01-09,352
the collective|2026-01-09,353
alhambra orizaba & richfield|2026-02-20,354
fernwood|2026-02-20,355
johnson|2026-02-20,356
the mark|2026-02-20,357
del norte pl|2026-04-17,358
terrace view|2026-06-12,359
sofi redwood park|2026-06-12,360
casa del milagro|2026-06-26,361
studios on fig|2026-06-26,362
terrace view|2026-06-26,363
sofi redwood park|2026-06-26,364
the trinidad on fig|2026-06-26,365
north cherokee|2026-07-17,366
skyline|2026-07-17,367
park view|2026-08-07,368
verdana|2026-08-20,369
