project_id,matched,generated_property,generated_meeting_date,match_method,sheet_property
1,YES,Alvarado Streets Apartments,2023-07-14,resolution,Alvarado Streets Apartments
4,YES,Bernardine Apartments,2023-08-04,resolution,Bernardine Apartments
2,YES,2025 New Jersey Apartments,2023-08-04,resolution,2025 New Jersey Apartments
3,YES,Mariposa Club Apartments,2023-08-04,resolution,Mariposa Club Apartments
5,YES,City View aka Outlook at Mission Valley Apartments,2023-08-25,resolution,"City View aka Outlook at Mission Valley
Apartments"
6,YES,381 Turk Street Apartments,2023-09-15,resolution,381 Turk Street Apartment
7,YES,Townhomes at Gading Apartments,2023-12-08,resolution,Townhomes at Gading Apartments
8,YES,1317 S. Grand Apartments,2023-12-08,resolution,1317 S. Grand Apartments
9,YES,1411 S. Flower Apartments,2023-12-08,resolution,1411 S. Flower Apartments
10,YES,7518 Hoover St. Apartments,2024-02-02,resolution,7518 Hoover St. Apartments
11,YES,820 MacArthur Apartments,2024-02-23,resolution,820 MacArthur Apartments
12,YES,The Waterloo Apartments,2024-02-23,resolution,The Waterloo Apartments
14,YES,Electric Lofts Apartments,2024-03-15,resolution,Electric Lofts Apartments
13,YES,275 Turk Street Apartments,2024-03-15,resolution,275 Turk Street Apartments
15,YES,Premiere Hollywood Apartments,2024-04-26,resolution,Premiere Hollywood Apartments
17,YES,4252 Crenshaw Apartments,2024-05-17,resolution,4252 Crenshaw Apartments
16,YES,Montessa Apartments,2024-05-17,resolution,Montessa Apartments
18,YES,Fallbrook Trail Apartments,2024-06-07,resolution,Fallbrook Trail Apartments
20,YES,Pinetree Terrace Apartments,2024-06-07,resolution,Pinetree Terrace Apartments
21,YES,Windmere Court Apartments,2024-06-07,resolution,Windmere Court Apartments
19,YES,The Arbors Apartments,2024-06-07,resolution,The Arbors Apartments
22,YES,Seville Gardens Apartments,2024-06-07,resolution,Seville Gardens Apartments
23,YES,Harbour Residences Apartments,2024-07-19,resolution,Harbour Residences Apartments
24,YES,4209 Western Avenue Apartments,2024-07-19,fuzzy-name(100),4209 Western Avenue Apartments
25,YES,1130 Martin Luther King Jr. Blvd Apartments,2024-07-19,resolution,1130 Martin Luther King Jr. Blvd Apartments
34,YES,Appian Terrace Apartments,2024-08-09,resolution,Appian Terrace Apartments
