project_id,field,value,source,note
1,scc_filed,True,collaborator-sheet,
1,restricted_units,24,collaborator-sheet,fills blank
1,address,"1136 S. Alvarado Street, Los Angeles, CA",collaborator-sheet,fills blank
4,scc_filed,True,collaborator-sheet,
4,investor_1,Quest Capital Partners,collaborator-sheet,fills blank
4,nonprofit_partner,Affordable Rent Project,collaborator-sheet,fills blank
4,total_units,71,collaborator-sheet,fills blank
4,restricted_units,70,collaborator-sheet,fills blank
4,address,"363 E. Gilbert St., San Bernardino, CA",collaborator-sheet,fills blank
4,city_cut,10650,collaborator-sheet,fills blank
2,built,2023,collaborator-sheet,
2,scc_filed,True,collaborator-sheet,
2,investor_1,"Eleos Ventures, LLC",collaborator-sheet,differs from generated: 'Oak Road'
2,restricted_units,14,collaborator-sheet,fills blank
2,address,"2025 New Jersey St, Los Angeles, CA",collaborator-sheet,fills blank
3,scc_filed,True,collaborator-sheet,
3,restricted_units,48,collaborator-sheet,fills blank
3,address,"660 Mariposa Ave., Mountain View, CA",collaborator-sheet,fills blank
5,scc_filed,True,collaborator-sheet,
5,investor_1,Securities Properties,collaborator-sheet,fills blank
5,nonprofit_partner,Las Palmas Housing & Development,collaborator-sheet,fills blank
5,total_units,56,collaborator-sheet,fills blank
5,restricted_units,23,collaborator-sheet,fills blank
5,address,"840 17th St, San Diego, CA 92101",collaborator-sheet,fills blank
5,city_cut,8400,collaborator-sheet,fills blank
6,manual_status,dead,collaborator-sheet,
6,city,San Francisco,collaborator-sheet,fills blank
6,restricted_units,13,collaborator-sheet,fills blank
6,address,"381 Turk St., San Francisco, CA",collaborator-sheet,fills blank
6,city_cut,4800,collaborator-sheet,fills blank
7,leasing_link,https://www.townhomesongadingapts.com/,collaborator-sheet,
7,restricted_units,61,collaborator-sheet,fills blank
7,address,"26409 Gading Rd, Hayward, CA 94544",collaborator-sheet,fills blank
8,scc_filed,True,collaborator-sheet,
8,restricted_units,147,collaborator-sheet,fills blank
8,address,"1317 S. Grand St, Los Angeles, CA 90015",collaborator-sheet,fills blank
9,investor_2,Arctaris Impact Investors,collaborator-sheet,
9,restricted_units,227,collaborator-sheet,fills blank
9,address,"1411 Flower St, Los Angeles, CA 90015",collaborator-sheet,fills blank
10,investor_2,Black Impact Group,collaborator-sheet,
10,scc_filed,True,collaborator-sheet,
10,investor_1,"SoLa Impact, LLC",collaborator-sheet,fills blank
10,nonprofit_partner,Housing on Merit,collaborator-sheet,fills blank
10,total_units,79,collaborator-sheet,fills blank
10,restricted_units,48,collaborator-sheet,fills blank
10,address,"7518 S. Hoover, Los Angeles, CA 90044",collaborator-sheet,fills blank
10,city_cut,11850,collaborator-sheet,fills blank
11,new_build,YES,collaborator-sheet,
11,scc_filed,True,collaborator-sheet,
11,entity,2019 Ozone Affordable Housing,collaborator-sheet,"differs from generated: '2019 Ozone Affordable Housing – 820 MacArthur, LP'"
11,restricted_units,166,collaborator-sheet,fills blank
11,address,"820 W MacArthur Blvd, Oakland, CA 94608",collaborator-sheet,fills blank
12,scc_filed,True,collaborator-sheet,
12,restricted_units,154,collaborator-sheet,fills blank
12,address,"801-809 Waterloo Street, Los Angeles, CA",collaborator-sheet,fills blank
14,leasing_link,https://www.electriclofts.com/,collaborator-sheet,
14,scc_filed,True,collaborator-sheet,
14,restricted_units,40,collaborator-sheet,fills blank
14,address,"2415 Valdez St, Oakland, CA 94612",collaborator-sheet,fills blank
13,investor_2,Stars Real Estate Investment,collaborator-sheet,
13,manual_status,dead,collaborator-sheet,
13,restricted_units,27,collaborator-sheet,fills blank
13,address,"275 Turk St, San Francisco, CA",collaborator-sheet,fills blank
15,built,2023,collaborator-sheet,
15,manual_status,dead,collaborator-sheet,
15,entity,"OODB2, LP",collaborator-sheet,"differs from generated: 'OODB2, LP, a Washington Limited Partnership'"
15,restricted_units,69,collaborator-sheet,fills blank
15,address,"6762 Hawthorn Ave, Los Angeles, CA 90028",collaborator-sheet,fills blank
17,investor_2,Magnum Real Estate Group,collaborator-sheet,
17,new_build,NO,collaborator-sheet,
17,built,2020,collaborator-sheet,
17,scc_filed,True,collaborator-sheet,
17,restricted_units,111,collaborator-sheet,fills blank
17,address,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,collaborator-sheet,fills blank
16,new_build,YES,collaborator-sheet,
16,entity,"Affordable Housing Alliance II, Inc. dba Integrity Housing",collaborator-sheet,"differs from generated: 'Affordable Housing Alliance II, Inc., d/b/a Integrity Housin'"
16,restricted_units,58,collaborator-sheet,fills blank
16,address,"343 Moon River Pl, Vacaville, CA 95687",collaborator-sheet,fills blank
18,investor_2,Pacific Affordable Housing Corp,collaborator-sheet,
18,built,2021,collaborator-sheet,
18,scc_filed,True,collaborator-sheet,
18,city,San Diego,collaborator-sheet,fills blank
18,investor_1,AOF,collaborator-sheet,differs from generated: 'AOF / Pacific Affordable Housing Corp.'
18,nonprofit_partner,Pacific Affordable Housing Corp,collaborator-sheet,differs from generated: 'AOF / Pacific Affordable Housing Corp.'
18,restricted_units,102,collaborator-sheet,fills blank
18,address,"1735 S Mission Rd, Fallbrook, CA 92028",collaborator-sheet,fills blank
18,city_cut,15300,collaborator-sheet,fills blank
20,acquisition_price_m,17600000,collaborator-sheet,
20,acquisition_date,2024-06-28,collaborator-sheet,
20,scc_filed,True,collaborator-sheet,
20,restricted_units,58,collaborator-sheet,fills blank
