project_id,county,property_name,ain,apn,situs_address,legacy_redundant,assignment_source,method,notes
1,Los Angeles,Alvarado Streets Apartments,5136019013,5136-019-013,1136 S ALVARADO ST LOS ANGELES CA 90006,False,collaborator-sheet,manual_verified,Corrected from AIN 5136019023 (auto/equipment use) to 5136019013 (apartments)
2,Los Angeles,2025 New Jersey Apartments,5183001017,5183-001-017,2025 NEW JERSEY ST LOS ANGELES CA 90033,False,collaborator-sheet,manual_verified,
3,Santa Clara,Mariposa Club Apartments,15434025,,660 MARIPOSA AVE MOUNTAIN VIEW CA 94041-1867,False,collaborator-sheet,,
4,San Bernardino,Bernardine Apartments,147091180000,,363 E GILBERT ST SAN BERNARDINO CA 92404-5343,False,collaborator-sheet,,
5,San Diego,"City View aka Outlook at Mission Valley
Apartments",5343602100,,840.0 17TH ST SAN DIEGO CA 92101-6666,False,collaborator-sheet,,
6,San Francisco,381 Turk Street Apartment,0345012C,,381 TURK ST SAN FRANCISCO CA 94102-3749,False,collaborator-sheet,,
7,Alameda,Townhomes at Gading Apartments,454251243,454-25-124-3,26409 GADING RD HAYWARD CA 94544-3603,False,collaborator-sheet,,
8,Los Angeles,1317 S. Grand Apartments,5134017037,5134-017-037,1317 S GRAND AVE LOS ANGELES CA 900015,False,collaborator-sheet,parcel_in_transition,AIN not in DB
9,Los Angeles,1411 S. Flower Apartments,5134009025,5134-009-025,1411 S FLOWER ST,False,collaborator-sheet,parcel_in_transition,Multi-parcel (2). AIN not in DB.
9,Los Angeles,1411 S. Flower Apartments,5134009024,5134-009-024,,True,collaborator-sheet,parcel_in_transition,Multi-parcel (2). AIN not in DB.
11,Alameda,820 MacArthur Apartments,1295996,12-959-9-6,820 W MACARTHUR BLVD OAKLAND CA 94608,False,collaborator-sheet,,
12,Los Angeles,The Waterloo Apartments,5402028023,5402-028-023,801 WATERLOO ST LOS ANGELES CA 90026,False,collaborator-sheet,manual_verified,"Pre-construction site (demolition not started): project will occupy 5402-028-023 and 5402-028-022; county values/units reflect existing buildings (units reviewed 2026-08-22, Drew)"
13,San Francisco,275 Turk Street Apartments,344007,,275 TURK ST SAN FRANCISCO CA 94102-3831,False,collaborator-sheet,,
14,Alameda,Electric Lofts Apartments,867281,8-672-8-1,2415 VALDEZ ST OAKLAND CA 94612-3600,False,collaborator-sheet,,
15,Los Angeles,Premiere Hollywood Apartments,5547013021,5547-013-021,6762 HAWTHORN AVE LOS ANGELES CA 90028,False,collaborator-sheet,manual_verified,
17,Los Angeles,4252 Crenshaw Apartments,5024017036,5024-017-036,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,False,collaborator-sheet,manual_verified,
18,San Diego,Fallbrook Trail Apartments,1043514700,,1735.0 S MISSION RD FALLBROOK CA 92028-4548,False,collaborator-sheet,,
19,Orange,The Arbors Apartments,39612209,,1100.0 FAIRHAVEN AVE SANTA ANA CA 92705-6754,False,collaborator-sheet,,
19,Orange,The Arbors Apartments,39612130,,1200 FAIRHAVEN AVE SANTA ANA CA 92705-6754,False,collaborator-sheet,,
20,Los Angeles,Pinetree Terrace Apartments,2102015045,2102-015-045,7940 RESEDA BLVD LOS ANGELES CA 91335,False,collaborator-sheet,manual_verified,
