project_id,ain,county,roll_year,roll_total_value,real_estate_exemp,value_source
3,15434025,Santa Clara,,17059601,16718409,collaborator-sheet
4,147091180000,San Bernardino,,4156500,4156500,collaborator-sheet
5,5343602100,San Diego,,9316117,,collaborator-sheet
6,0345012C,San Francisco,,7398189,,collaborator-sheet
7,454251243,Alameda,,17313480,0,collaborator-sheet
11,1295996,Alameda,,2013882,7089890,collaborator-sheet
13,344007,San Francisco,,17116303,,collaborator-sheet
14,867281,Alameda,,24257157,,collaborator-sheet
18,1043514700,San Diego,,32460480,,collaborator-sheet
19,39612209,Orange,,18340000,,collaborator-sheet
19,39612130,Orange,,22410000,,collaborator-sheet
34,4251100188,Contra Costa,,9977564,0,collaborator-sheet
35,22802520400000,Sacramento,,25646900,23179668,collaborator-sheet
43,01419405,Marin,,33879341,,collaborator-sheet
45,39626156,Orange,,25500000,,collaborator-sheet
45,39626155,Orange,,103700000,,collaborator-sheet
47,4610304300,San Diego,,13362000,,collaborator-sheet
48,039481250,San Mateo,,31083000,7000,collaborator-sheet
48,039482130,San Mateo,,62932900,7000,collaborator-sheet
48,042112240,San Mateo,,44821400,7000,collaborator-sheet
48,042113250,San Mateo,,31161700,7000,collaborator-sheet
48,042121090,San Mateo,,41355000,0,collaborator-sheet
48,042122050,San Mateo,,41008500,0,collaborator-sheet
49,4281649,Alameda,,38656726,,collaborator-sheet
50,5351441500,San Diego,,53339453,,collaborator-sheet
51,5473131800,San Diego,,5832864,,collaborator-sheet
52,28501900330000,Sacramento,,15111810,,collaborator-sheet
53,26003700120000,Sacramento,,12145525,,collaborator-sheet
56,5619549,Alameda,,31838150,0,collaborator-sheet
59,6954018,San Francisco,,82453101,,collaborator-sheet
63,1701000273,Contra Costa,,10616112,,collaborator-sheet
65,26324146,Orange,,53482929,53482929,collaborator-sheet
67,12918108,Orange,,60690000,,collaborator-sheet
70,006312850,San Mateo,,3870288,,collaborator-sheet
70,006312860,San Mateo,,4765032,,collaborator-sheet
70,006312870,San Mateo,,4452912,,collaborator-sheet
70,006312880,San Mateo,,4317660,,collaborator-sheet
70,006312890,San Mateo,,4317660,,collaborator-sheet
70,006312900,San Mateo,,4713012,,collaborator-sheet
70,006312910,San Mateo,,5784624,,collaborator-sheet
70,006312920,San Mateo,,2590596,,collaborator-sheet
71,52082450,San Mateo,,25240000,,collaborator-sheet
72,5431A041,San Francisco,,73513835,0,collaborator-sheet
74,5484004400,San Diego,,2804259,,collaborator-sheet
75,4635902700,San Diego,,30350548,,collaborator-sheet
78,4054900073,Contra Costa,,222047798,,collaborator-sheet
93,59020050000,Napa,,46693244,,collaborator-sheet
94,6390806100,San Diego,,51548563,,collaborator-sheet
98,50115064010,Alameda,,73418537,0,collaborator-sheet
120,28502100410000,Sacramento,,51313873,0,collaborator-sheet
141,41805060,Fresno,,30330305,,collaborator-sheet
144,123140018,Santa Barbara,,6695000,,collaborator-sheet
144,123140019,Santa Barbara,,4460000,,collaborator-sheet
144,123140020,Santa Barbara,,4460000,,collaborator-sheet
144,123140021,Santa Barbara,,7113000,,collaborator-sheet
145,,Fresno,,10673404,,collaborator-sheet
154,019170270,San Mateo,,180060039,,collaborator-sheet
155,1303200180,Contra Costa,,34848175,,collaborator-sheet
156,5011800142,Alameda,,65613972,,collaborator-sheet
157,2262031000,San Diego,,12540125,,collaborator-sheet
157,2280732000,San Diego,,41107952,,collaborator-sheet
157,2262030200,San Diego,,18982539,,collaborator-sheet
157,2262110300,San Diego,,12540125,,collaborator-sheet
187,19826132,Orange,,26605309,,collaborator-sheet
188,501261015,Contra Costa,,42750000,9419226,collaborator-sheet
190,223010017,Contra Costa,,69647731,46831134,collaborator-sheet
192,03615006,Orange,,67860998,67860998,collaborator-sheet
193,2311104600,San Diego,,49668778,49157189,collaborator-sheet
210,11700120210000,Sacramento,2025,11438021,,collaborator-sheet
227,3003300180000,Sacramento,2026,41186542,,collaborator-sheet
232,23115127,Orange,2026,90133662,62106599,collaborator-sheet
232,23115128,Orange,2026,30044551,20702197,collaborator-sheet
57,28424015,Santa Clara,,36559633,18850147,collaborator-sheet
60,17004068,Santa Clara,,32171358,,collaborator-sheet
60,17004069,Santa Clara,,18766626,,collaborator-sheet
89,25404108,Santa Clara,,113197044,,collaborator-sheet
95,37226016,Santa Clara,,4853048,,collaborator-sheet
96,29640005,Santa Clara,,129482004,,collaborator-sheet
96,29640004,Santa Clara,,95469825,,collaborator-sheet
96,29640003,Santa Clara,,72364911,,collaborator-sheet
136,70607013,Santa Clara,,269608107,,collaborator-sheet
138,21332022,Santa Clara,,27979060,,collaborator-sheet
139,68429011,Santa Clara,,51700304,51700304,collaborator-sheet
139,68428078,Santa Clara,,8396294,8396294,collaborator-sheet
140,31342061,Santa Clara,,70919811,,collaborator-sheet
189,46745084,Santa Clara,,31718046,,collaborator-sheet
191,15401034,Santa Clara,,104843965,,collaborator-sheet
16,128101140,Solano,,7595,,collaborator-sheet
16,128101130,Solano,,7606,,collaborator-sheet
16,128101120,Solano,,7619,,collaborator-sheet
16,128101110,Solano,,7631,,collaborator-sheet
16,128101100,Solano,,30262,,collaborator-sheet
16,128101090,Solano,,30426,,collaborator-sheet
16,128101080,Solano,,31967,,collaborator-sheet
16,128101070,Solano,,35714,,collaborator-sheet
16,128101060,Solano,,40196,,collaborator-sheet
16,128101040,Solano,,66586,,collaborator-sheet
16,128101030,Solano,,61921,,collaborator-sheet
16,128101020,Solano,,49211,,collaborator-sheet
16,128101010,Solano,,99051,,collaborator-sheet
16,128102110,Solano,,1360,,collaborator-sheet
16,128102100,Solano,,1201,,collaborator-sheet
16,128102090,Solano,,1201,,collaborator-sheet
16,128102080,Solano,,1202,,collaborator-sheet
16,128102070,Solano,,1202,,collaborator-sheet
16,128102060,Solano,,1202,,collaborator-sheet
16,128102050,Solano,,32653,,collaborator-sheet
16,128102040,Solano,,32653,,collaborator-sheet
16,128102030,Solano,,32697,,collaborator-sheet
16,128102020,Solano,,32612,,collaborator-sheet
16,128102010,Solano,,40431,,collaborator-sheet
16,128102210,Solano,,47216,,collaborator-sheet
16,128102200,Solano,,29071,,collaborator-sheet
16,128102190,Solano,,29025,,collaborator-sheet
16,128102180,Solano,,29025,,collaborator-sheet
16,128102170,Solano,,29025,,collaborator-sheet
16,128102160,Solano,,7331,,collaborator-sheet
16,128102150,Solano,,7331,,collaborator-sheet
16,128102140,Solano,,6988,,collaborator-sheet
16,128102130,Solano,,1018,,collaborator-sheet
16,128102120,Solano,,1223,,collaborator-sheet
16,128103090,Solano,,1507,,collaborator-sheet
16,128103080,Solano,,1101,,collaborator-sheet
16,128103070,Solano,,1101,,collaborator-sheet
16,128103060,Solano,,1101,,collaborator-sheet
16,128103050,Solano,,1101,,collaborator-sheet
16,128103040,Solano,,29932,,collaborator-sheet
16,128103030,Solano,,29932,,collaborator-sheet
16,128103020,Solano,,29932,,collaborator-sheet
16,128103010,Solano,,55923,,collaborator-sheet
16,128103180,Solano,,47738,,collaborator-sheet
16,128103170,Solano,,27211,,collaborator-sheet
16,128103160,Solano,,27211,,collaborator-sheet
16,128103150,Solano,,27211,,collaborator-sheet
16,128103140,Solano,,6874,,collaborator-sheet
16,128103130,Solano,,6874,,collaborator-sheet
16,128103120,Solano,,6874,,collaborator-sheet
16,128103110,Solano,,6874,,collaborator-sheet
16,128103100,Solano,,8329,,collaborator-sheet
16,128105050,Solano,,11538,,collaborator-sheet
16,128105040,Solano,,11625,,collaborator-sheet
16,128105030,Solano,,11618,,collaborator-sheet
16,128105020,Solano,,11609,,collaborator-sheet
16,128105010,Solano,,11771,,collaborator-sheet
16,128104020,Solano,,56604,,collaborator-sheet
16,128104010,Solano,,60404,,collaborator-sheet
131,89082034000,Sonoma,,10140095,0,collaborator-sheet
76,5036031006,Los Angeles,2025,1569525,0,collaborator-sheet
99,4262018026,Los Angeles,2025,2225000,0,collaborator-sheet
132,6020022027,Los Angeles,2025,2856000,0,collaborator-sheet
137,2125017014,Los Angeles,2025,943500,0,collaborator-sheet
202,01125105,Santa Cruz,2026,9776112,0,manual-repo-edit
213,22800420320000,Sacramento,2026,8878476,0,manual-repo-edit
203,21900420330000,Sacramento,2026,15693765,0,manual-repo-edit
222,80C49562,Alameda,2026,11141147,0,manual-repo-edit
223,1831016,Alameda,2026,71934357,56403868,manual-repo-edit
238,9917523,Alameda,2026,47387387,19523603,manual-repo-edit
147,41416654,Alameda,2026,0,0,manual-repo-edit
16,128101050,Solano,2026,0,0,manual-repo-edit
16,128101150,Solano,2026,0,0,manual-repo-edit
16,128105060,Solano,2026,0,0,manual-repo-edit
