property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,investor_1,nonprofit_partner,total_units,rent_restricted_pct,term_years,city_cut,grant_description
Main Street Apartments,"4752 Main, LP",Los Angeles,Los Angeles,,2024-11-01,preliminary_only,False,"Eleos Ventures, LLC",Step Forward Communities,53,100% at 80% AMI,30,7950.0,Charitable Affordable Housing Grant for an Affordable
8th Street Apartments,2933 8th LLLP,Los Angeles,Los Angeles,,2024-11-01,preliminary_only,False,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,30,,Charitable Affordable Housing Program Application for a
Ardmore Apartments,Ardmore 19 LLLP,Los Angeles,Los Angeles,,2024-11-01,preliminary_only,False,K3 Holdings,"Kingdom Development, Inc.",67,100% at 80% AMI,30,,Charitable Affordable Housing Program Application for a
Avalon Apartments,Ave 55 19 LLLP,Los Angeles,Los Angeles,,2024-11-01,preliminary_only,False,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,30,,Charitable Affordable Housing Program Application for a
Harvard Apartments,516 Harvard LLLP,Los Angeles,Los Angeles,,2024-11-01,preliminary_only,False,K3 Holdings,"Kingdom Development, Inc.",40,100% at 80% AMI,30,,Charitable Affordable Housing Program Application for a
Hollywood Apartments,5200 Hollywood LLLP,Los Angeles,Los Angeles,,2024-11-01,preliminary_only,False,K3 Holdings,"Kingdom Development, Inc.",20,100% at 80% AMI,30,,Charitable Affordable Housing Program Application for a
Lexington Apartments,5406 Lexington LLLP,Los Angeles,Los Angeles,,2024-11-01,preliminary_only,False,K3 Holdings,"Kingdom Development, Inc.",42,100% at 80% AMI,30,,Charitable Affordable Housing Program Application for a
Manhattan I & II Apartments,Manhattan 20 LLLP,Los Angeles,Los Angeles,,2024-11-01,preliminary_only,False,,,,,,,
Elevate Long Beach Apartments,"Gelt on 3rd LB, LP",Long Beach,Los Angeles,,2025-01-10,preliminary_only,False,Gelt Ventures Partners,Integrity Housing,171,100% at 80% AMI,30,,Charitable Affordable Housing Program Application for a
2245 Amherst Apartments,2245 Amherst LLC,Los Angeles,Los Angeles,,2025-01-10,preliminary_only,False,HVN Development,Integrity Housing,38,100% at 80% AMI,30,,Charitable Affordable Housing Program Application for a
Cherokee Avenue Apartments,1305 CherokeeOOZB LLC,Los Angeles,Los Angeles,,2025-01-31,preliminary_only,False,Uncommon Developers,Pacific Housing Inc.,52,100% at 80% AMI,30,7800.0,Charitable Affordable Housing Program Application for a
Oak Park Apartments,"Post Oak Park Monrovia, LP",Monrovia,Los Angeles,,2025-01-31,preliminary_only,False,Post Investment Group,Integrity Housing,156,100% at 80% AMI,30,23400.0,Charitable Affordable Housing Program Application for a
501 S. Burlington Avenue Apartments,501 Burlington Owners L.P.,Los Angeles,Los Angeles,,2025-02-21,preliminary_only,False,Taylor Equities,"Kingdom Development, Inc.",42,100% at 80% AMI,30,6300.0,Charitable Affordable Housing Program Application for a
Brookhollow Apartments,"Post Brookhollow, LP",West Covina,Los Angeles,,2025-02-21,preliminary_only,False,Post Investment Group,Integrity Housing,188,100% at 80% AMI,30,28200.0,Charitable Affordable Housing Program Application for a
625 S. Burlington Avenue Apartments,625 Burlington Owners L.P.,Los Angeles,Los Angeles,,2025-02-21,preliminary_only,False,Taylor Equities,"Kingdom Development, Inc.",48,100% at 80% AMI,30,7200.0,Charitable Affordable Housing Program Application for a
The Groves at East Tabor Apartments,"Post Groves, LP",Fairfield,Solano,,2025-02-21,preliminary_only,False,Post Investment Group,Integrity Housing,148,100% at 80% AMI,30,22200.0,Charitable Affordable Housing Program Application for a
Shadowbrook Apartments,"Post Shadowbrook, LP",Selma,Fresno,,2025-02-21,preliminary_only,False,Post Investment Group,Integrity Housing,193,100% at 80% AMI,30,28950.0,Charitable Affordable Housing Program Application for a
River Court Apartments,"Post Rivercourt, LP",Sacramento,Sacramento,,2025-02-21,preliminary_only,False,Post Investment Group,Integrity Housing,160,100% at 80% AMI,30,24000.0,Charitable Affordable Housing Program Application for a
