project_id,county,property_name,ain,apn,situs_address,legacy_redundant,assignment_source,method,notes,roll_year,roll_land_value,roll_imp_value,roll_total_value,real_estate_exemp,year_built,use_description,value_source,fetch_date,operative_project_id,assignment_check
1,Los Angeles,Alvarado Streets Apartments,5136019013,5136-019-013,1136 S ALVARADO ST LOS ANGELES CA 90006,False,collaborator-sheet,manual_verified,Corrected from AIN 5136019023 (auto/equipment use) to 5136019013 (apartments),2026,2122416,2414248,4536664,4536664,1912,Five or more apartments,la-county-api,2026-08-22,1,situs-match
2,Los Angeles,2025 New Jersey Apartments,5183001017,5183-001-017,2025 NEW JERSEY ST LOS ANGELES CA 90033,False,collaborator-sheet,manual_verified,,2026,538509,0,538509,538509,,Five or more apartments,la-county-api,2026-08-22,2,situs-match
3,Santa Clara,Mariposa Club Apartments,15434025,,660 MARIPOSA AVE MOUNTAIN VIEW CA 94041-1867,False,collaborator-sheet,,,,,,17059601,16718409,,,collaborator-sheet,,3,no-situs
4,San Bernardino,Bernardine Apartments,147091180000,,363 E GILBERT ST SAN BERNARDINO CA 92404-5343,False,collaborator-sheet,,,,,,4156500,4156500,,,collaborator-sheet,,4,no-situs
5,San Diego,"City View aka Outlook at Mission Valley
Apartments",5343602100,,840.0 17TH ST SAN DIEGO CA 92101-6666,False,collaborator-sheet,,,2026,2202858,7489628,9692486,,90,16,sandag-parcels,2026-08-22,5,situs-match
6,San Francisco,381 Turk Street Apartment,0345012C,,381 TURK ST SAN FRANCISCO CA 94102-3749,False,collaborator-sheet,,,,,,7398189,,,,collaborator-sheet,,6,no-situs
7,Alameda,Townhomes at Gading Apartments,454251243,454-25-124-3,26409 GADING RD HAYWARD CA 94544-3603,False,collaborator-sheet,,,,,,17313480,0,,,collaborator-sheet,,7,no-situs
8,Los Angeles,1317 S. Grand Apartments,5134017037,5134-017-037,1317 S GRAND AVE LOS ANGELES CA 900015,False,collaborator-sheet,parcel_in_transition,AIN not in DB,2026,6022684,5995825,12018509,0,2023,Five or more apartments,la-county-api,2026-08-22,8,situs-match
9,Los Angeles,1411 S. Flower Apartments,5134009025,5134-009-025,1411 S FLOWER ST,False,collaborator-sheet,parcel_in_transition,Multi-parcel (2). AIN not in DB.,2026,4499681,4588800,9088481,9088481,2024,Five or more apartments,la-county-api,2026-08-22,9,situs-match
9,Los Angeles,1411 S. Flower Apartments,5134009024,5134-009-024,,True,collaborator-sheet,parcel_in_transition,Multi-parcel (2). AIN not in DB.,2026,4499681,4588800,9088481,9088481,2024,Five or more apartments,la-county-api,2026-08-22,9,
11,Alameda,820 MacArthur Apartments,1295996,12-959-9-6,820 W MACARTHUR BLVD OAKLAND CA 94608,False,collaborator-sheet,,,,,,2013882,7089890,,,collaborator-sheet,,11,no-situs
12,Los Angeles,The Waterloo Apartments,5402028023,5402-028-023,801 WATERLOO ST LOS ANGELES CA 90026,False,collaborator-sheet,manual_verified,"Pre-construction site (demolition not started): project will occupy 5402-028-023 and 5402-028-022; county values/units reflect existing buildings (units reviewed 2026-08-22, Drew)",2026,1004700,382500,1387200,0,1917,Five or more apartments,la-county-api,2026-08-22,12,situs-match
13,San Francisco,275 Turk Street Apartments,344007,,275 TURK ST SAN FRANCISCO CA 94102-3831,False,collaborator-sheet,,,,,,17116303,,,,collaborator-sheet,,13,no-situs
14,Alameda,Electric Lofts Apartments,867281,8-672-8-1,2415 VALDEZ ST OAKLAND CA 94612-3600,False,collaborator-sheet,,,,,,24257157,,,,collaborator-sheet,,316,no-situs
15,Los Angeles,Premiere Hollywood Apartments,5547013021,5547-013-021,6762 HAWTHORN AVE LOS ANGELES CA 90028,False,collaborator-sheet,manual_verified,,2026,4551315,4329576,8880891,0,2022,Five or more apartments,la-county-api,2026-08-22,15,situs-match
