table,project_id,field,value,source,note
grants,4,investor_1,Quest Capital Partners,collaborator-sheet,fills blank
grants,4,nonprofit_partner,Affordable Rent Project,collaborator-sheet,fills blank
grants,4,total_units,71,collaborator-sheet,fills blank
grants,4,restricted_units,70,collaborator-sheet,fills blank
grants,4,address,"363 E. Gilbert St., San Bernardino, CA",collaborator-sheet,fills blank
grants,4,city_cut,10650,collaborator-sheet,fills blank
grants,2,built,2023,collaborator-sheet,
grants,2,investor_1,"Eleos Ventures, LLC",collaborator-sheet,adjudicated 2026-08 (Drew): Eleos is an arm of Oak Road; keeping Eleos for consistency
grants,3,address,"660 Mariposa Ave., Mountain View, CA",collaborator-sheet,fills blank
grants,5,investor_1,Securities Properties,collaborator-sheet,fills blank
grants,5,nonprofit_partner,Las Palmas Housing & Development,collaborator-sheet,fills blank
grants,5,total_units,56,collaborator-sheet,fills blank
grants,5,restricted_units,23,collaborator-sheet,fills blank
grants,5,address,"840 17th St, San Diego, CA 92101",collaborator-sheet,fills blank
grants,5,city_cut,8400,collaborator-sheet,fills blank
grants,6,manual_status,dead,collaborator-sheet,
grants,6,city,San Francisco,collaborator-sheet,fills blank
grants,6,address,"381 Turk St., San Francisco, CA",collaborator-sheet,fills blank
grants,6,city_cut,4800,collaborator-sheet,fills blank
grants,7,leasing_link,https://www.townhomesongadingapts.com/,collaborator-sheet,
grants,7,address,"26409 Gading Rd, Hayward, CA 94544",collaborator-sheet,fills blank
grants,8,address,"1317 S. Grand St, Los Angeles, CA 90015",collaborator-sheet,fills blank
grants,9,investor_2,Arctaris Impact Investors,collaborator-sheet,
grants,9,address,"1411 Flower St, Los Angeles, CA 90015",collaborator-sheet,fills blank
grants,10,investor_2,Black Impact Group,collaborator-sheet,
grants,10,investor_1,"SoLa Impact, LLC",collaborator-sheet,fills blank
grants,10,nonprofit_partner,Housing on Merit,collaborator-sheet,fills blank
grants,10,total_units,79,collaborator-sheet,fills blank
grants,10,restricted_units,48,collaborator-sheet,fills blank
grants,10,address,"7518 S. Hoover, Los Angeles, CA 90044",collaborator-sheet,fills blank
grants,10,city_cut,11850,collaborator-sheet,fills blank
grants,11,new_build,YES,collaborator-sheet,
grants,11,scc_filed,True,collaborator-sheet,
grants,11,address,"820 W MacArthur Blvd, Oakland, CA 94608",collaborator-sheet,fills blank
