project_id,ain,legacy_ain,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_fixture_value,roll_pers_prop_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes
1,5136019013,,5136-019-013,1136 S ALVARADO ST LOS ANGELES CA 90006,LOS ANGELES CA,90006-4138,"1136 S. Alvarado Street, Los Angeles, CA",Alvarado Streets Apartments,,manual_verified,Five or more apartments,Residential,0500,1912,24,0,24,16113,2025,2080800,2366910,,,2023,2023,4262686,00036,LOS ANGELES,34.0491403,-118.2810431,ALVARADO HEIGHTS LOT    4 BLK    6,Corrected from AIN 5136019023 (auto/equipment use) to 5136019013 (apartments)
2,5183001017,,5183-001-017,2025 NEW JERSEY ST LOS ANGELES CA 90033,LOS ANGELES CA,90033-2805,"2025 New Jersey St, Los Angeles, CA",2025 New Jersey Apartments,,manual_verified,Five or more apartments,Residential,050V,,,,,,2025,527950,0,,,2018,2018,527950,00004,LOS ANGELES,34.0480109,-118.21232372,SUBDN OF LOT 2 BLK 60 H S NW 20 FT OF LOT 3 AND SE 20 FT OF LOT    5 BLK    A,
28,4291020005,,4291-020-005,1422 7TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2653,"1422-1432 7th, Santa Monica, CA",Santa Monica Portfolio B Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,1996,28,28,28,21437,2025,3000000,4650000,,,2025,2025,3491875,08004,SANTA MONICA,34.01797475,-118.4919757,SANTA MON1CA LOT    E BLK  168,Multi-parcel (3)
28,4291020006,,4291-020-006,1430 7TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2600,"1422-1432 7th, Santa Monica, CA",Santa Monica Portfolio B Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,1996,28,28,28,21437,2025,3000000,4650000,,,2025,2025,3491875,08004,SANTA MONICA,34.01787626,-118.49186072,SANTA MON1CA LOT    F BLK  168,Multi-parcel (3)
28,4291020007,,4291-020-007,1432 7TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2612,"1422-1432 7th, Santa Monica, CA",Santa Monica Portfolio B Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,2000,26,30,26,21878,2025,3000000,4770000,,,2025,2025,3594576,08004,SANTA MONICA,34.01777789,-118.49174558,SANTA MON1CA LOT    G BLK  168,Multi-parcel (3)
30,4291024007,,4291-024-007,1522 6TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2548,"1522 6th St, Santa Monica, CA",Santa Monica Portfolio D Apartments,,manual_verified,Five or more apartments,Residential,0550,2004,26,29,26,24573,2025,3600000,3450000,,,2025,2025,3659058,08004,SANTA MONICA,34.01587009,-118.49135637,SANTA MONICA LOT    E BLK  194,
31,4291022015,,4291-022-015,1537 7TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2672,"1537 7th, Santa Monica, CA",Santa Monica Portfolio E Apartments,,manual_verified,Five or more apartments,Residential,0540,2003,36,0,0,24738,2025,3600000,2980000,,,2025,2025,4088045,08004,SANTA MONICA,34.01678094,-118.48952249,SANTA MON1CA LOT    Q BLK  192,
32,4275024005,,4275-024-005,2001 OLYMPIC BLVD SANTA MONICA CA 90404,SANTA MONICA CA,90404-3942,"2001-2029 Olympic Blvd, Santa Monica",Santa Monica Portfolio F Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,2008,100,0,99,51033,2025,2130000,6860000,,,2025,2025,8990000,08004,SANTA MONICA,34.02500078,-118.47521615,ERKENBRECHER SYNDICATE SANTA MONICA TRACT EX OF ST LOT    6 BLK   20,Multi-parcel (2)
32,4275024015,,4275-024-015,2029 OLYMPIC BLVD SANTA MONICA CA 90404,SANTA MONICA CA,90404-3922,"2001-2029 Olympic Blvd, Santa Monica",Santa Monica Portfolio F Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,2009,29,0,29,13940,2025,5418000,14942000,,,2025,2025,13362409,08004,SANTA MONICA,34.02523075,-118.47475525,"MB 6-26-27 LOT 5 AND EX OF ST LOTS 7,9 AND 11",Multi-parcel (2)
68,2764001013,,2764-001-013,9830 RESEDA BLVD LOS ANGELES CA 91324,LOS ANGELES CA,91324-2060,"9830 Reseda Blvd, Northridge, CA 91324",Candlewood North Apartments,,manual_verified,Five or more apartments,Residential,0501,1964,68,74,86,66070,2025,8704392,8588333,,203288,2017,2017,0,00016,LOS ANGELES,34.2491338,-118.53552906,TRACT NO 27700 LOT    1,
69,2731008014,,2731-008-014,10535 LINDLEY AVE LOS ANGELES CA 91326,LOS ANGELES CA,91326-3267,"10535 Lindley Ave, Granada Hills, CA 91326",Lindley Parc Apartments,,manual_verified,Five or more apartments,Residential,0501,1964,50,95,87,49290,2025,4473720,10404000,,15575,2023,2023,0,00016,LOS ANGELES,34.26203526,-118.52794007,TRACT NO 21000 LOT 4 AND S 1/2 OF LOT    5,
80,5032015003,,5032-015-003,4101 SOMERSET DR LOS ANGELES CA 90008,LOS ANGELES CA,90008-3401,"4101 Somerset Drive, Los Angeles, CA",4101 Somerset Dr. Apartments,,manual_verified,Five or more apartments,Residential,0500,2023,36,27,48,0,2025,1584354,1867518,,280,2021,2023,0,00501,LOS ANGELES,34.01158755,-118.34157213,TRACT # 14989 LOT    1,
97,8608030071,,8608-030-071,601 E 8TH ST AZUSA CA 91702,AZUSA CA,91702-2546,"601 E 8th St, Azusa, CA 91702",Azusa Gardens Apartments,,manual_verified,Five or more apartments,Residential,0501,1987,112,99,99,96496,2025,1869289,11355514,,85600,1993,1993,0,08819,AZUSA,34.13601189,-117.90015303,PM 188-25-26     LOT 1,
103,5183012030,,5183-012-030,2025 E 4TH ST LOS ANGELES CA 90033,LOS ANGELES CA,90033-4364,"2025 E. 4th Street, Los Angeles, CA",4th Street Apartments,,manual_verified,Five or more apartments,Residential,0500,1912,24,24,24,11556,2025,2772309,1393721,,2700,2023,2023,0,00004,LOS ANGELES,34.04272247,-118.21570786,WORKMAN PARK TRACT LOT 11 AND SE 3 FT OF LOT   12 BLK    E,
106,5502011009,,5502-011-009,454 S CATALINA ST LOS ANGELES CA 90020,LOS ANGELES CA,90020-2476,"454 S. Catalina Street, Los Angeles, CA",Catalina Apartments,,manual_verified,Five or more apartments,Residential,0500,1928,48,8,48,26160,2025,5243616,2247264,,26400,2023,2023,0,00067,LOS ANGELES,34.06576573,-118.29502955,SCHMIDT HEIGHTS TRACT LOT   42,
107,5518013007,,5518-013-007,103 S EDGEMONT ST LOS ANGELES CA 90004,LOS ANGELES CA,90004-5551,"103 S. Edgemont Street, Los Angeles, CA 90004",Edgemont Apartments,,manual_verified,Five or more apartments,Residential,0500,1930,40,17,43,28769,2025,7282800,3391704,,11760,2023,2023,0,08830,LOS ANGELES,34.07249877,-118.29773261,TRACT # 4193 LOTS 43 AND LOT   44,
108,5081032007,,5081-032-007,974 S GRAMERCY PL LOS ANGELES CA 90019,LOS ANGELES CA,90019-2169,"974 S. Gramercy Place, Los Angeles, CA",Gramercy Apartments,,manual_verified,Five or more apartments,Residential,0500,1928,38,8,38,23063,2025,4244832,2971382,,10525,2022,2022,0,00067,LOS ANGELES,34.05337149,-118.31289247,TRACT # 1600 LOT   72,
