ain,apn,situs_address,input_address,property_name,tract_number,method,use_description,notes
5136019023,5136-019-023,1136 S ALVARADO ST LOS ANGELES CA 90006,"1136 S. Alvarado Street, Los Angeles, CA",Alvarado Streets Apartments,,manual_verified,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",
5183001017,5183-001-017,2025 NEW JERSEY ST LOS ANGELES CA 90033,"2025 New Jersey St, Los Angeles, CA",2025 New Jersey Apartments,,manual_verified,Five or more apartments,
4291020005,4291-020-005,1422 7TH ST SANTA MONICA CA 90401,"1422-1432 7th, Santa Monica, CA",Santa Monica Portfolio B Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (3)
4291020006,4291-020-006,1430 7TH ST SANTA MONICA CA 90401,"1422-1432 7th, Santa Monica, CA",Santa Monica Portfolio B Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (3)
4291020007,4291-020-007,1432 7TH ST SANTA MONICA CA 90401,"1422-1432 7th, Santa Monica, CA",Santa Monica Portfolio B Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (3)
4291024007,4291-024-007,1522 6TH ST SANTA MONICA CA 90401,"1522 6th St, Santa Monica, CA",Santa Monica Portfolio D Apartments,,manual_verified,Five or more apartments,
4291022015,4291-022-015,1537 7TH ST SANTA MONICA CA 90401,"1537 7th, Santa Monica, CA",Santa Monica Portfolio E Apartments,,manual_verified,Five or more apartments,
4275024005,4275-024-005,2001 OLYMPIC BLVD SANTA MONICA CA 90404,"2001-2029 Olympic Blvd, Santa Monica",Santa Monica Portfolio F Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (2)
4275024015,4275-024-015,2029 OLYMPIC BLVD SANTA MONICA CA 90404,"2001-2029 Olympic Blvd, Santa Monica",Santa Monica Portfolio F Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (2)
2764001013,2764-001-013,9830 RESEDA BLVD LOS ANGELES CA 91324,"9830 Reseda Blvd, Northridge, CA 91324",Candlewood North Apartments,,manual_verified,Five or more apartments,
2731008014,2731-008-014,10535 LINDLEY AVE LOS ANGELES CA 91326,"10535 Lindley Ave, Granada Hills, CA 91326",Lindley Parc Apartments,,manual_verified,Five or more apartments,
5032015003,5032-015-003,4101 SOMERSET DR LOS ANGELES CA 90008,"4101 Somerset Drive, Los Angeles, CA",4101 Somerset Dr. Apartments,,manual_verified,Five or more apartments,
8608030071,8608-030-071,601 E 8TH ST AZUSA CA 91702,"601 E 8th St, Azusa, CA 91702",Azusa Gardens Apartments,,manual_verified,Five or more apartments,
5183012030,5183-012-030,2025 E 4TH ST LOS ANGELES CA 90033,"2025 E. 4th Street, Los Angeles, CA",4th Street Apartments,,manual_verified,Five or more apartments,
5502011009,5502-011-009,454 S CATALINA ST LOS ANGELES CA 90020,"454 S. Catalina Street, Los Angeles, CA",Catalina Apartments,,manual_verified,Five or more apartments,
5518013007,5518-013-007,103 S EDGEMONT ST LOS ANGELES CA 90004,"103 S. Edgemont Street, Los Angeles, CA 90004",Edgemont Apartments,,manual_verified,Five or more apartments,
5081032007,5081-032-007,974 S GRAMERCY PL LOS ANGELES CA 90019,"974 S. Gramercy Place, Los Angeles, CA",Gramercy Apartments,,manual_verified,Five or more apartments,
5094023030,5094-023-030,941 S KENMORE AVE LOS ANGELES CA 90006,"941 S. Kenmore Avenue, Los Angeles, CA",Kenmore I Apartments,,manual_verified,Five or more apartments,
5081006014,5081-006-014,1111 S NORTON AVE LOS ANGELES CA 90019,"1111 S. Norton Avenue, Los Angeles, CA 90019",Norton Apartments,,manual_verified,Five or more apartments,
5518027010,5518-027-010,3715 W 1ST ST LOS ANGELES CA 90004,"3715 W. 1st Street, Los Angeles, CA",Seven Lions Apartments,,manual_verified,Five or more apartments,
5094017020,5094-017-020,861 FEDORA ST LOS ANGELES CA 90005,"861 Fedora Street, Los Angeles, CA",Fedora Apartments,,manual_verified,Five or more apartments,
5518020021,5518-020-021,200 S KENMORE AVE LOS ANGELES CA 90004,"200 S. Kenmore Avenue, Los Angeles, CA",Kenmore II Apartments,,manual_verified,Five or more apartments,
5094023025,5094-023-025,915 S KENMORE AVE LOS ANGELES CA 90006,"915 S. Kenmore Avenue, Los Angeles, CA",Kenmore III Apartments,,manual_verified,Five or more apartments,
