tra,total_rate,CITY LOS ANGELES,CITY SANTA MONIC,CITY-AZUSA,CITY-AZUSA TD 1,CITY-EL MONTE,CITY-HAWAII GDNS,CITY-HUNTINGTN P,CITY-INGLEWOOD,CITY-L.A. MID-CI,CITY-L.A. SANTA,CITY-L.A. WATTS,CITY-L.A. ADELAN,CITY-L.A. WILSHI,CITY-LONG BEACH,CITY-LOS ANGELES,CITY-PALMDALE,CITY-SANTA MONIC,COMMNTY COLLEGE,COUNTY,ELEM SCHOOLS,GENERAL,HIGH SCHOOLS,METRO WATER DIST,MUNICIPAL WATER,SPECIAL WATER,UNIFIED SCHOOLS
00004,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00007,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00013,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00016,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00036,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00067,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00068,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00200,1.18738,0.012232,,,,,,,,,,,,,,,,,0.048543,0,,1,,0.007,,,0.119605
00210,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00212,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00400,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00401,1.18738,,,,,,,,,0.012232,,,,,,,,,0.048543,0,,1,,0.007,,,0.119605
00460,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00461,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00501,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
00594,1.385148,,,,,,,0.21,,,,,,,,,,,0.048543,0,,1,,0.007,,,0.119605
02241,1.233086,,,,,,,,,,,,,,,,0,,0.038641,0,0.096048,1,0.027907,,,0.07049,
02519,1.135572,,,,,,0,,,,,,,,,,,,0.061674,0,,1,,0.007,,,0.066898
02525,1.135572,,,,,,0,,,,,,,,,,,,0.061674,0,,1,,0.007,,,0.066898
03122,1.175703,,,0,,,,,,,,,,,,,,,0.058548,0,,1,,0.007,,,0.110155
03622,1.323192,,,,,0.13,,,,,,,,,,,,,0.010704,0,0.107869,1,0.067619,0.007,,,
04569,1.280765,,,,,,,,0.146958,,,,,,,,,,0.021788,0,,1,,0.007,,,0.105019
06650,1.18738,,,,,,,,,,,0.012232,,,,,,,0.048543,0,,1,,0.007,,,0.119605
06654,1.18738,,,,,,,,,,,0.012232,,,,,,,0.048543,0,,1,,0.007,,,0.119605
06657,1.18738,,,,,,,,,,,,,0.012232,,,,,0.048543,0,,1,,0.007,,,0.119605
06659,1.18738,,,,,,,,,,0.012232,,,,,,,,0.048543,0,,1,,0.007,,,0.119605
06660,1.18738,,,,,,,,,,0.012232,,,,,,,,0.048543,0,,1,,0.007,,,0.119605
07211,1.206499,,,,,,,,,,,,,,0,,,,0.03501,0,,1,,0.007,,,0.164489
08004,1.203757,,0,,,,,,,,,,,,,,,,0.078622,0,,1,,0.007,,,0.118135
08604,1.203757,,,,,,,,,,,,,,,,,0,0.078622,0,,1,,0.007,,,0.118135
08819,1.16448,,,,0,,,,,,,,,,,,,,0.043522,0,,1,,,0.03,,0.090958
08830,1.18738,0.012232,,,,,,,,,,,,,,,,,0.048543,0,,1,,0.007,,,0.119605
08841,1.18738,0.012232,,,,,,,,,,,,,,,,,0.048543,0,,1,,0.007,,,0.119605
08852,1.18738,0.012232,,,,,,,,,,,,,,,,,0.048543,0,,1,,0.007,,,0.119605
12703,1.18738,,,,,,,,,,,,0.012232,,,,,,0.048543,0,,1,,0.007,,,0.119605
13245,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
13264,1.18738,,,,,,,,,,,,,,,0.012232,,,0.048543,0,,1,,0.007,,,0.119605
