tra,total_rate,city_rate,school_rate,other_rate
00004,1.18738,0.012232,0.168148,0.007
00007,1.18738,0.012232,0.168148,0.007
00013,1.18738,0.012232,0.168148,0.007
00016,1.18738,0.012232,0.168148,0.007
00036,1.18738,0.012232,0.168148,0.007
00067,1.18738,0.012232,0.168148,0.007
00068,1.18738,0.012232,0.168148,0.007
00200,1.18738,0.012232,0.168148,0.007
00210,1.18738,0.012232,0.168148,0.007
00212,1.18738,0.012232,0.168148,0.007
00400,1.18738,0.012232,0.168148,0.007
00401,1.18738,0.012232,0.168148,0.007
00460,1.18738,0.012232,0.168148,0.007
00461,1.18738,0.012232,0.168148,0.007
00501,1.18738,0.012232,0.168148,0.007
00594,1.385148,0.21,0.168148,0.007
02241,1.233086,0.0,0.162596,0.07049
02519,1.135572,0.0,0.128572,0.007
02525,1.135572,0.0,0.128572,0.007
03122,1.175703,0.0,0.168703,0.007
03622,1.323192,0.13,0.186192,0.007
04569,1.280765,0.146958,0.126807,0.007
06650,1.18738,0.012232,0.168148,0.007
06654,1.18738,0.012232,0.168148,0.007
06657,1.18738,0.012232,0.168148,0.007
06659,1.18738,0.012232,0.168148,0.007
06660,1.18738,0.012232,0.168148,0.007
07211,1.206499,0.0,0.199499,0.007
08004,1.203757,0.0,0.196757,0.007
08604,1.203757,0.0,0.196757,0.007
08819,1.16448,0.0,0.13448,0.03
08830,1.18738,0.012232,0.168148,0.007
08841,1.18738,0.012232,0.168148,0.007
08852,1.18738,0.012232,0.168148,0.007
12703,1.18738,0.012232,0.168148,0.007
13245,1.18738,0.012232,0.168148,0.007
13264,1.18738,0.012232,0.168148,0.007
Benicia,1.193723,0.0,0.163723,0.03
Dixon,1.127902,0.0,0.107902,0.02
Fairfield,1.132523,0.0023,0.110223,0.02
Rio Vista,1.0827,0.0,0.0627,0.02
Suisun,1.132673,0.00245,0.110223,0.02
Vacaville,1.17033,0.03035,0.11998,0.02
Vallejo,1.133439,0.0,0.113439,0.02
Los Altos,1.1656,0.0,0.1083,0.0185
Mountain View,1.1599,0.0,0.105,0.0161
San Jose,1.2789,0.0197,0.2057,0.0147
Sunnyvale,1.171,0.0,0.1161,0.0161
Campbell,1.191,0.017,0.1181,0.0171
Cupertino,1.1622,0.0,0.1063,0.0171
Gilroy,1.2186,0.0125,0.1502,0.0171
Los Altos Hills,1.153,0.0,0.0957,0.0185
Los Gatos,1.1459,0.0,0.091,0.0161
Milpitas,1.1389,0.0,0.083,0.0171
Monte Sereno,1.2013,0.0,0.144,0.0185
Morgan Hill,1.1297,0.0,0.0738,0.0171
Palo Alto,1.20135,0.00745,0.139,0.0161
Santa Clara,1.1825,0.0287,0.1003,0.0147
Saratoga,1.2049,0.0036,0.144,0.0185
Carlsbad,1.0783,0.0,0.0713,0.007
Chula Vista,1.18748,0.05714,0.12334,0.007
Coronado,1.05331,0.0,0.05331,0.0
Del Mar,1.06384,0.0,0.05684,0.007
El Cajon,1.17108,0.0,0.10045,0.07063
Encinitas,1.05702,0.0,0.03143,0.02559
Escondido,1.14011,0.03824,0.02868,0.07319
Imperial Beach,1.20381,0.0,0.12334,0.08047
La Mesa,1.19599,0.05365,0.10045,0.04189
Lemon Grove,1.27164,0.1443,0.10045,0.02689
National City,1.17402,0.0,0.12334,0.05068
Oceanside,1.11741,0.0,0.11041,0.007
Poway,1.12109,0.0,0.07106,0.05003
San Diego,1.25114,0.0,0.23914,0.012
San Marcos,1.14247,0.0,0.08544,0.05703
Santee,1.17129,0.04395,0.10045,0.02689
Solana Beach,1.06109,0.02266,0.03143,0.007
Vista,1.12952,0.0,0.10349,0.02603
Oakland,1.2779,0.12,0.1332,0.0247
Berkeley,1.2323,0.049,0.1586,0.0247
Hayward,1.1724,0.0,0.1289,0.0435
