AIN,APN,Address,Assessed Value,Exemption Value
5024017036,5024-017-036,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,26914860.0,26914860.0
7455002027,7455-002-027,441 W 3RD ST LOS ANGELES CA 90731,24250000.0,16429375.0
2119001222,2119-001-222,18325 SATICOY ST LOS ANGELES CA 91335,16626000.0,16306781.0
2102015045,2102-015-045,7940 RESEDA BLVD LOS ANGELES CA 91335,17952000.0,15786989.0
5021028002,5021-028-002,4209 S WESTERN AVE LOS ANGELES CA 90062,10924200.0,10903361.0
4291020019,4291-020-019,1423 6TH ST SANTA MONICA CA 90401,10450000.0,5443405.0
4291020005,4291-020-005,1422 7TH ST SANTA MONICA CA 90401,7650000.0,3491875.0
4291019006,4291-019-006,1422 6TH ST SANTA MONICA CA 90401,8650000.0,2125161.0
6063029029,6063-029-029,10705 AVALON BLVD LOS ANGELES CA 90061,936360.0,936360.0
6006018001,6006-018-001,6401 AVALON BLVD LOS ANGELES CA 90003,426520.0,0.0
7451026002,7451-026-002,685 W 4TH ST LOS ANGELES CA 90731,3002337.0,0.0
5094005005,5094-005-005,727 S MARIPOSA AVE LOS ANGELES CA 90005,7089929.0,0.0
4110025040,4110-025-040,7518 AGNEW AVE LOS ANGELES CA 90045,2545586.0,0.0
5094023025,5094-023-025,915 S KENMORE AVE LOS ANGELES CA 90006,2895505.0,0.0
5402028023,5402-028-023,801 WATERLOO ST LOS ANGELES CA 90026,1360000.0,0.0
5093017031,5093-017-031,808 S HOBART BLVD LOS ANGELES CA 90005,7984000.0,0.0
5503024012,5503-024-012,530 S KINGSLEY DR LOS ANGELES CA 90020,10516571.0,0.0
5092023021,5092-023-021,920 S GRAMERCY PL LOS ANGELES CA 90019,7802661.0,0.0
6048022067,6048-022-067,9300 COMPTON AVE XX LOS ANGELES CA 90002,595337.0,0.0
5094023030,5094-023-030,941 S KENMORE AVE LOS ANGELES CA 90006,4338468.0,0.0
5080015003,5080-015-003,960 S OXFORD AVE LOS ANGELES CA 90006,14206920.0,0.0
5081032007,5081-032-007,974 S GRAMERCY PL LOS ANGELES CA 90019,7216214.0,0.0
8608030071,8608-030-071,601 E 8TH ST AZUSA CA 91702,13224803.0,0.0
5518013007,5518-013-007,103 S EDGEMONT ST LOS ANGELES CA 90004,10674504.0,0.0
5503017013,5503-017-013,516 S ST ANDREWS PL LOS ANGELES CA 90020,14209574.0,0.0
5504029006,5504-029-006,515 S ST ANDREWS PL LOS ANGELES CA 90020,10012496.0,0.0
4221007056,4221-007-056,4706 S CENTINELA AVE LOS ANGELES CA 90066,2190000.0,0.0
4231018020,4231-018-020,4129 S CENTINELA AVE LOS ANGELES CA 90066,1630000.0,0.0
5032015003,5032-015-003,4101 SOMERSET DR LOS ANGELES CA 90008,3451872.0,0.0
5518027010,5518-027-010,3715 W 1ST ST LOS ANGELES CA 90004,11906753.0,0.0
5160009020,5160-009-020,333 DOUGLAS ST LOS ANGELES CA 90026,1144440.0,0.0
5501013028,5501-013-028,209 S WESTMORELAND AVE LOS ANGELES CA 90004,129082596.0,0.0
5518020021,5518-020-021,200 S KENMORE AVE LOS ANGELES CA 90004,9200673.0,0.0
8630009026,8630-009-026,18615 E ARROW HWY AZUSA CA 91722,21864168.0,0.0
2321001019,2321-001-019,12300 SHERMAN WAY LOS ANGELES CA 91605,43800000.0,0.0
5081006014,5081-006-014,1111 S NORTON AVE LOS ANGELES CA 90019,3121200.0,0.0
6087001033,6087-001-033,110 W IMPERIAL HWY LOS ANGELES CA 90061,1331712.0,0.0
2421011010,2421-011-010,10910 HUSTON ST LOS ANGELES CA 91601,1417800.0,0.0
5080008006,5080-008-006,975 S OXFORD AVE LOS ANGELES CA 90006,3420921.0,0.0
