input_address,normalized_address,geocode_status,geocode_score,geocode_address,lat,lon,parcel_count,primary_ain,primary_apn,error,row_id,orig_cand_parcelnumb_no_formatting,orig_query_Address,orig_cand_address,orig_cand_usecode,orig_cand_usedesc,orig_cand_zoning,orig_cand_zoning_description,orig_cand_numunits,orig_cand_parvaltype,orig_cand_parval,orig_exemption value,orig_cand_owner,orig_cand_mailadd,orig_cand_saddno,orig_cand_saddstr,orig_cand_county,orig_cand_gisacre,orig_cand_ll_gisacre,orig_query_Applicant / Entity,orig_query_Property Name,orig_query_City,orig_query_County,orig_query_Grant Description,orig_query_Resolution,orig_query_Date,orig_query_Investor 1,orig_query_Investor 2,orig_query_Nonprofit Partner,orig_query_Link,orig_query_New build?,orig_query_Acquisition Price (M),orig_query_Acquisition Date,orig_query_TOTAL UNITS,orig_query_Rent Restricted,orig_PERCENT AFFORDABLE,orig_ESTIMATED VALUE OF EXEMPTION IF IT GOES THROUGH,orig_query_Built,orig_query_HAVE RECIEVED WELFARE TAX EXEMPTION,orig_query_Leasing Link,orig_query_APN No. 1,orig_query_APN No. 2,orig_query_Unnamed: 22,orig_query_Property Taxes Link,orig_query_23 Ass. Value,orig_query_25 Ass. Value,orig_query_Unnamed: 26,orig_query_City's Cut,orig_query_ED 1?,orig_query_Last Tax Amt,orig_query_Last Tax Yr,orig_query_Current Amt,orig_query_Current Yr,orig_query_address_number
103 S EDGEMONT ST LOS ANGELES CA 90004-5551,"103 S EDGEMONT ST, LOS ANGELES, CA, 90004-5551",fetched,99.3,"103 South Edgemont St, Los Angeles, CA, 90004",34.072686196121325,-118.29755471840579,1,5518013007,5518-013-007,,1,5518013007,103 S EDGEMONT STREET LOS ANGELES CA 90004,103 S EDGEMONT ST LOS ANGELES CA 90004-5551,500,Residential - Five or more apartments,R3-1,Multiple Residential,40.0,GROSS ASSESSED,"$10,674,504.00",,1641 ALEXANDRIA LLC AND,345 N MAPLE DR STE 135,103.0,EDGEMONT,los-angeles,,0.27005,103 S Edgemont LLLP,Edgemont Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-452,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,43.0,43.0,1.0,"$10,674,504.00",,,,,,,,,,,"$6,450",,,,,,103.0
1057 S WESTERN AVE LOS ANGELES CA 90006-2344,"1057 S WESTERN AVE, LOS ANGELES, CA, 90006-2344",fetched,99.3,"1057 South Western Avenue, Los Angeles, CA, 90006",34.0517055264813,-118.30912808899627,1,5080006021,5080-006-021,,2,5080006008,1057 S WESTERN AVENUE LOS ANGELES CA,1057 S WESTERN AVE LOS ANGELES CA 90006-2344,500,Residential - Five or more apartments,C2-1,Commercial,76.0,GROSS ASSESSED,"$14,010,916.00",,WESTERN 19 LLC,345 N MAPLE DR STE 135,1057.0,WESTERN,los-angeles,,0.367,Western 19 LLLP,Western Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-496,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,76.0,76.0,1.0,"$14,010,916.00",,,,,,,,,,,"$11,400",,,,,,1057.0
10705 AVALON BLVD LOS ANGELES CA 90061-2521,"10705 AVALON BLVD, LOS ANGELES, CA, 90061-2521",fetched,99.3,"10705 Avalon Boulevard, Los Angeles, CA, 90061",33.93923229311051,-118.26523613261558,1,6063029020,6063-029-020,,3,6063029029,10705 AVALON BLVD LOS ANGELES CA,10705 AVALON BLVD LOS ANGELES CA 90061-2521,1100,Commercial - Stores,[Q]R4-1,Qualified Multiple Residential,0.0,GROSS ASSESSED,"$936,360.00",,BIF NON OZ 10705 AVALON BLVD LP,1000 E 60TH ST,10705.0,AVALON,los-angeles,,0.25721,"PS 10705 Avalon Blvd, LP",10705 Avalon Blvd Apartments,Los Angeles,Los Angeles,,,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,YES,,,68.0,68.0,1.0,"$936,360.00",,,,,,,,,,,"$10,200",YES,,,,,10705.0
10811 COMPTON AVE LOS ANGELES CA 90059-1143,"10811 COMPTON AVE, LOS ANGELES, CA, 90059-1143",fetched,99.3,"10811 Compton Avenue, Los Angeles, CA, 90059",33.937720075957444,-118.24633563064248,1,6070003008,6070-003-008,,4,6070003041,10811 S COMPTON AVENUE LOS ANGELES CA,10811 COMPTON AVE LOS ANGELES CA 90059-1143,,,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,2.0,,,,,,10811.0,COMPTON,los-angeles,,0.16215,10811 S. Compton Ave Apartments,10811 S. Compton Ave Apartments,Los Angeles,Los Angeles,,,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,29.0,28.0,0.9655172414,$0.00,,,,,,,,,,,"$4,200",,,,,,10811.0
10910 HUSTON ST NORTH HOLLYWOOD CA 91601-4618,"10910 HUSTON ST RTH, HOLLYWOOD, CA 91601-4618",fetched,88.52,"10910 Huston St, North Hollywood, CA, 91601",34.159866647865464,-118.36835161789499,5,2421011010,2421-011-010,,5,2421011010,10910 HUSTON ST NORTH HOLLYWOOD CA 91601,10910 HUSTON ST NORTH HOLLYWOOD CA 91601-4618,100,Residential - Single,[Q]R3-1,Qualified Multiple Residential,1.0,GROSS ASSESSED,"$1,417,800.00",,10910 HUSTON LLC,7257 BEVERLY BLVD UNIT 212,10910.0,HUSTON,los-angeles,,0.1926,10910 Huston LP,Huston Affordable Housing Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-353,8/8/2025,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,,YES,,,38.0,37.0,0.9736842105,"$1,380,489.47",,,,,,,,,,,"$5,550",,,,,,10910.0
110 E IMPERIAL HWY LOS ANGELES CA 90061-2543,"110 E IMPERIAL HWY, LOS ANGELES, CA, 90061-2543",fetched,90.17,"110 West Imperial Hwy, Los Angeles, CA, 90061",33.93096711142855,-118.27416384898552,1,6087001033,6087-001-033,,6,6083001009,110 IMPERIAL HIGHWAY LOS ANGELES CA,110 E IMPERIAL HWY LOS ANGELES CA 90061-2543,3100,Industrial - Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,C2-2D-CPIO,Commercial 2 Development Limitations Community Plan Implementation Overlay,0.0,GROSS ASSESSED,"$429,364.00",,WASHINGTONLANIS E,110 E IMPERIAL HWY,110.0,IMPERIAL,los-angeles,,0.2368,"BIF NON OZ 2000 Imperial Hwy Blk, LP",2023 Imperial Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-382,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,90.0,71.0,0.7888888889,"$338,720.49",,,,,,,,,,,"$10,650",,,,,,110.0
1111 S NORTON AVE LOS ANGELES CA 90019-3363,"1111 S AVE RTON, LOS ANGELES, CA 90019-3363",fetched,99.3,"1111 South Norton Avenue, Los Angeles, CA, 90019",34.05125711826504,-118.32209377673608,2,5081006013,5081-006-013,,8,5081006014,1111 S NORTON AVENUE LOS ANGELES CA 90019,1111 S NORTON AVE LOS ANGELES CA 90019-3363,500,Residential - Five or more apartments,R3-1-O-HPOZ,Multiple Residential Oil Drilling Historic Preservation Overlay Zone,20.0,GROSS ASSESSED,"$3,121,200.00",,1111 NORTON LLC,PO BOX 46342,1111.0,NORTON,los-angeles,,0.16144,1111 Norton LLLP,Norton Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-459,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,20.0,20.0,1.0,"$3,121,200.00",,,,,,,,,,,"$3,000",,,,,,1111.0
1136 S ALVARADO ST LOS ANGELES CA 90006-4138,"1136 S ALVARADO ST, LOS ANGELES, CA, 90006-4138",fetched,99.3,"1136 South Alvarado St, Los Angeles, CA, 90006",34.049694700663416,-118.28107596093412,1,5136019025,5136-019-025,,9,5136019023,1136 S ALVARADO STREET LOS ANGELES CA,1136 S ALVARADO ST LOS ANGELES CA 90006-4138,2600,"Commercial - Auto, Recreation EQPT, Construction EQPT, Sales & Service",C2-1-HPOZ,Commercial Historic Preservation Overlay Zone,0.0,GROSS ASSESSED,"$1,019,592.00",,1132 ALVARADO LLC,1401 WESTWOOD BLVD STE 300,1136.0,ALVARADO,los-angeles,,0.21521,"Alvarado Affordable Associates, L.P.",Alvarado Streets Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",23-204,07/14/23,Taylor Equities,,"Kingdom Development, Inc.",,,,,24.0,24.0,1.0,"$1,019,592.00",,YES,,,,,,,,,"$3,600",,,,,,1136.0
12300 SHERMAN WAY NORTH HOLLYWOOD CA 91605-5527,"12300 SHERMAN WAY RTH, HOLLYWOOD, CA 91605-5527",fetched,88.52,"12300 Sherman Way, North Hollywood, CA, 91605",34.20114489081931,-118.4010816436351,1,2321001019,2321-001-019,,13,2321001019,12300 SHERMAN WAY NORTH HOLLYWOOD CA 91605,12300 SHERMAN WAY NORTH HOLLYWOOD CA 91605-5527,501,Residential - Five or more apartments,R3-1,Multiple Residential,236.0,GROSS ASSESSED,"$33,410,613.00",,POST MARQUEE NORTH HOLLYWOOD LP,8149 SANTA MONICA BLVD STE 298,12300.0,SHERMAN,los-angeles,,4.49406,"Post Marquee North Hollywood, LP",Marquee Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-383,9/20/2024,Ascenda Capital,,Integrity Housing,,NO,,,236.0,236.0,1.0,"$33,410,613.00",1965,,,,,,,,,,"$35,400",,,,,,12300.0
130 S ALEXANDRIA AVE LOS ANGELES CA 90004-2791,"130 S ALEXANDRIA AVE, LOS ANGELES, CA, 90004-2791",fetched,99.3,"130 South Alexandria Avenue, Los Angeles, CA, 90004",34.07227624636177,-118.29834567066719,2,5518013015,5518-013-015,,16,5518013024,130 S ALEXANDRIA AVENUE LOS ANGELES CA,130 S ALEXANDRIA AVE LOS ANGELES CA 90004-2791,500,Residential - Five or more apartments,R3-1,Multiple Residential,30.0,GROSS ASSESSED,"$13,742,642.00",,130 ALEXANDRIA LLC,11030 SANTA MONICA BLVD STE 300,130.0,ALEXANDRIA,los-angeles,,0.55033,130 Alexandria LLLP,Alexandria II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-487,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,30.0,30.0,1.0,"$13,742,642.00",,,,,,,,,,,"$4,500",,,,,,130.0
