project_id,ain,assignment_check
1,5136019013,situs-match
2,5183001017,situs-match
3,15434025,no-situs
4,147091180000,no-situs
5,5343602100,situs-match
6,0345012C,no-situs
7,454251243,no-situs
8,5134017037,situs-match
9,5134009025,situs-match
11,1295996,no-situs
12,5402028023,situs-match
13,344007,no-situs
14,867281,no-situs
15,5547013021,situs-match
17,5024017036,situs-match
18,1043514700,situs-match
19,39612209,no-situs
19,39612130,no-situs
20,2102015045,situs-match
21,2119001222,situs-match
22,6320011041,situs-match
23,7418014021,situs-match
24,5021028002,situs-match
25,5020017007,situs-match
26,7455002027,situs-match
27,4291019007,situs-match
27,4291019006,situs-match
28,4291020005,situs-match
28,4291020006,situs-match
28,4291020007,situs-match
29,4291020018,situs-match
29,4291020019,situs-match
30,4291024007,situs-match
31,4291022015,situs-match
32,4275024005,situs-match
32,4275024015,situs-match
34,4251100188,no-situs
35,22802520400000,no-situs
36,4025014001,situs-match
36,4025014002,situs-match
36,4025014003,situs-match
36,4025014004,situs-match
36,4025014005,situs-match
36,4025014006,situs-match
36,4025014007,situs-match
36,4025014008,situs-match
36,4025014009,situs-match
36,4025014010,situs-match
36,4025014011,situs-match
36,4025014012,situs-match
36,4025014013,situs-match
36,4025014014,situs-match
36,4025014015,situs-match
36,4025014016,situs-match
36,4025014017,situs-match
36,4025014018,situs-match
36,4025015001,situs-match
36,4025015002,situs-match
37,5183013023,situs-match
38,2321001019,situs-match
39,6005021032,situs-match
40,5021009036,situs-match
41,5020025039,situs-match
42,6083001009,situs-match
43,01419405,no-situs
44,5180001024,situs-match
45,39626156,no-situs
45,39626155,no-situs
46,5109003014,situs-match
46,5109003001,situs-match
47,4610304300,situs-match
48,039481250,no-situs
48,039482130,no-situs
48,042112240,no-situs
48,042113250,no-situs
48,042121090,no-situs
48,042122050,no-situs
49,4281649,no-situs
50,5351441500,situs-match
51,5473131800,situs-match
52,28501900330000,no-situs
53,26003700120000,no-situs
54,7157031001,documented
54,7157031002,documented
54,7157031003,documented
54,7157031004,documented
54,7157031005,documented
54,7157031006,documented
54,7157031007,documented
54,7157031008,documented
54,7157031009,documented
54,7157031010,documented
54,7157031011,documented
54,7157031012,documented
54,7157031013,documented
54,7157031014,documented
54,7157031015,documented
54,7157031016,documented
54,7157031017,documented
54,7157031018,documented
54,7157031019,documented
54,7157031020,documented
54,7157031021,documented
54,7157031022,documented
54,7157031023,documented
54,7157031024,documented
54,7157031025,documented
54,7157031026,documented
54,7157031027,documented
54,7157031028,documented
54,7157031029,documented
54,7157031030,documented
54,7157031031,documented
54,7157031032,documented
54,7157031033,documented
55,5409005030,situs-match
56,5619549,no-situs
58,3004004033,situs-match
