ain,parcel_id,situs_address,use_description,year_built,roll_year,roll_land_value,roll_imp_value,roll_total_value,real_estate_exemp,value_source,fetch_date
128101010,0128101010,418 PERIDOT ST VACAVILLE,,,2026,101032.0,0,101032.0,17458.0,solano-county-portal,2026-08-22
128101020,0128101020,412 PERIDOT ST VACAVILLE,,,2026,50192.0,0,50192.0,8873.0,solano-county-portal,2026-08-22
128101030,0128101030,406 PERIDOT ST VACAVILLE,,,2026,63157.0,0,63157.0,10743.0,solano-county-portal,2026-08-22
128101040,0128101040,400 PERIDOT ST VACAVILLE,,,2026,67916.0,0,67916.0,11735.0,solano-county-portal,2026-08-22
128101060,0128101060,154 AUTUMN VALLEY WAY VACAVILLE,,,2026,40997.0,0,40997.0,7248.0,solano-county-portal,2026-08-22
128101070,0128101070,148 AUTUMN VALLEY WAY VACAVILLE,,,2026,36427.0,0,36427.0,6294.0,solano-county-portal,2026-08-22
128101080,0128101080,142 AUTUMN VALLEY WAY VACAVILLE,,,2026,32605.0,0,32605.0,5546.0,solano-county-portal,2026-08-22
128101090,0128101090,136 AUTUMN VALLEY WAY VACAVILLE,,,2026,31033.0,0,31033.0,5362.0,solano-county-portal,2026-08-22
128101100,0128101100,130 AUTUMN VALLEY WAY VACAVILLE,,,2026,30867.0,0,30867.0,5457.0,solano-county-portal,2026-08-22
128101110,0128101110,124 AUTUMN VALLEY WAY VACAVILLE,,,2026,8918.0,0,8918.0,1541.0,solano-county-portal,2026-08-22
128101120,0128101120,118 AUTUMN VALLEY WAY VACAVILLE,,,2026,8903.0,0,8903.0,1514.0,solano-county-portal,2026-08-22
128101130,0128101130,112 AUTUMN VALLEY WAY VACAVILLE,,,2026,8888.0,0,8888.0,1535.0,solano-county-portal,2026-08-22
128101140,0128101140,106 AUTUMN VALLEY WAY VACAVILLE,,,2026,8875.0,0,8875.0,1569.0,solano-county-portal,2026-08-22
128102010,0128102010,161 AUTUMN VALLEY WAY VACAVILLE,,,2026,41238.0,0,41238.0,7125.0,solano-county-portal,2026-08-22
128102020,0128102020,155 AUTUMN VALLEY WAY VACAVILLE,,,2026,33263.0,0,33263.0,5658.0,solano-county-portal,2026-08-22
128102030,0128102030,149 AUTUMN VALLEY WAY VACAVILLE,,,2026,33350.0,0,33350.0,5762.0,solano-county-portal,2026-08-22
128102040,0128102040,143 AUTUMN VALLEY WAY VACAVILLE,,,2026,33305.0,0,33305.0,5888.0,solano-county-portal,2026-08-22
128102050,0128102050,137 AUTUMN VALLEY WAY VACAVILLE,,,2026,33305.0,0,33305.0,5755.0,solano-county-portal,2026-08-22
128102060,0128102060,131 AUTUMN VALLEY WAY VACAVILLE,,,2026,9639.0,0,9639.0,1704.0,solano-county-portal,2026-08-22
128102070,0128102070,125 AUTUMN VALLEY WAY VACAVILLE,,,2026,9639.0,0,9639.0,1665.0,solano-county-portal,2026-08-22
128102080,0128102080,119 AUTUMN VALLEY WAY VACAVILLE,,,2026,50439.0,605000.0,655439.0,118205.0,solano-county-portal,2026-08-22
128102090,0128102090,113 AUTUMN VALLEY WAY VACAVILLE,,,2026,50439.0,561000.0,611439.0,107787.0,solano-county-portal,2026-08-22
128102100,0128102100,107 AUTUMN VALLEY WAY VACAVILLE,,,2026,50439.0,571000.0,621439.0,115237.0,solano-county-portal,2026-08-22
128102110,0128102110,101 AUTUMN VALLEY WAY VACAVILLE,,,2026,51705.0,561000.0,612705.0,108006.0,solano-county-portal,2026-08-22
128102120,0128102120,200 LEO LN VACAVILLE,,,2026,50603.0,571000.0,621603.0,115266.0,solano-county-portal,2026-08-22
128102130,0128102130,206 LEO LN VACAVILLE,,,2026,48965.0,561000.0,609965.0,107533.0,solano-county-portal,2026-08-22
128102140,0128102140,212 LEO LN VACAVILLE,,,2026,48965.0,605000.0,653965.0,117954.0,solano-county-portal,2026-08-22
128102150,0128102150,218 LEO LN VACAVILLE,,,2026,49366.0,561000.0,610366.0,107602.0,solano-county-portal,2026-08-22
128102160,0128102160,224 LEO LN VACAVILLE,,,2026,49366.0,571000.0,620366.0,113937.0,solano-county-portal,2026-08-22
128102170,0128102170,230 LEO LN VACAVILLE,,,2026,70404.0,561000.0,631404.0,111237.0,solano-county-portal,2026-08-22
128102180,0128102180,236 LEO LN VACAVILLE,,,2026,70404.0,605000.0,675404.0,121601.0,solano-county-portal,2026-08-22
128102190,0128102190,242 LEO LN VACAVILLE,,,2026,70404.0,561000.0,631404.0,111237.0,solano-county-portal,2026-08-22
128102200,0128102200,248 LEO LN VACAVILLE,,,2026,70451.0,605000.0,675451.0,448773.0,solano-county-portal,2026-08-22
128102210,0128102210,254 LEO LN VACAVILLE,,,2026,88958.0,561000.0,649958.0,114443.0,solano-county-portal,2026-08-22
128103010,0128103010,249 LEO LN VACAVILLE,,,2026,97840.0,561000.0,658840.0,419134.0,solano-county-portal,2026-08-22
128103020,0128103020,243 LEO LN VACAVILLE,,,2026,30529.0,0,30529.0,5397.0,solano-county-portal,2026-08-22
128103030,0128103030,237 LEO LN VACAVILLE,,,2026,30529.0,0,30529.0,5275.0,solano-county-portal,2026-08-22
128103040,0128103040,231 LEO LN VACAVILLE,,,2026,71329.0,571000.0,642329.0,118930.0,solano-county-portal,2026-08-22
128103050,0128103050,225 LEO LN VACAVILLE,,,2026,49635.0,561000.0,610635.0,107648.0,solano-county-portal,2026-08-22
128103060,0128103060,219 LEO LN VACAVILLE,,,2026,49635.0,605000.0,654635.0,434959.0,solano-county-portal,2026-08-22
